term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0072401,"signal transduction involved in DNA integrity checkpoint",0.008%,null,null,3.036,-4.2907,0.663,0.977,10605,1
GO:0072395,"signal transduction involved in cell cycle checkpoint",0.010%,null,null,3.129,-4.2291,0.668,0.705,10605,1
GO:0071158,"positive regulation of cell cycle arrest",0.008%,null,null,3.000,-4.2140,0.666,0.850,10605,1
GO:0072431,"signal transduction involved in mitotic G1 DNA damage checkpoint",0.002%,null,null,2.498,-3.8013,0.659,0.995,10605,1
GO:0072422,"signal transduction involved in DNA damage checkpoint",0.008%,null,null,3.035,-4.2907,0.655,0.556,10605,1
GO:0010629,"negative regulation of gene expression",0.784%,null,null,5.002,-18.8962,0.704,0.929,10605,1
GO:0072413,"signal transduction involved in mitotic cell cycle checkpoint",0.009%,null,null,3.039,-3.8013,0.654,0.977,10605,1
GO:1903321,"negative regulation of protein modification by small protein conjugation or removal",0.020%,null,null,3.400,-10.6038,0.687,0.831,10605,1
GO:1903322,"positive regulation of protein modification by small protein conjugation or removal",0.049%,null,null,3.799,-5.5918,0.688,0.960,10605,1
GO:0042176,"regulation of protein catabolic process",0.112%,null,null,4.158,-6.3261,0.664,0.913,10605,1
GO:0031396,"regulation of protein ubiquitination",0.068%,null,null,3.943,-8.9706,0.703,0.936,10605,1
GO:0051436,"negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle",0.001%,null,null,2.182,-8.4763,0.632,0.916,10605,1
GO:0051437,"positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition",0.001%,null,null,1.924,-8.8013,0.572,0.706,10605,1
GO:0031400,"negative regulation of protein modification process",0.151%,null,null,4.287,-7.1403,0.665,0.789,10605,1
GO:0051438,"regulation of ubiquitin-protein transferase activity",0.034%,null,null,3.639,-11.4001,0.703,0.900,10605,1
GO:0031398,"positive regulation of protein ubiquitination",0.045%,null,null,3.765,-5.2815,0.688,0.955,10605,1
GO:0051439,"regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle",0.001%,null,null,2.185,-9.2343,0.645,0.728,10605,1
GO:0031397,"negative regulation of protein ubiquitination",0.017%,null,null,3.342,-11.4711,0.685,0.658,10605,1
GO:0051443,"positive regulation of ubiquitin-protein transferase activity",0.028%,null,null,3.550,-9.2757,0.683,0.975,10605,1
GO:0051444,"negative regulation of ubiquitin-protein transferase activity",0.006%,null,null,2.851,-11.4067,0.691,0.924,10605,1
GO:1902400,"intracellular signal transduction involved in G1 DNA damage checkpoint",0.002%,null,null,2.498,-3.8013,0.661,0.938,10605,1
GO:1902403,"signal transduction involved in mitotic DNA integrity checkpoint",0.008%,null,null,3.008,-3.8013,0.654,0.996,10605,1
GO:1902402,"signal transduction involved in mitotic DNA damage checkpoint",0.008%,null,null,3.006,-3.8013,0.646,0.996,10605,1
GO:1903364,"positive regulation of cellular protein catabolic process",0.038%,null,null,3.694,-5.4698,0.645,0.961,10605,1
GO:1903362,"regulation of cellular protein catabolic process",0.062%,null,null,3.902,-6.5638,0.655,0.937,10605,1
GO:2000060,"positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process",0.005%,null,null,2.790,-7.4976,0.662,0.856,10605,1
GO:2000059,"negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process",0.003%,null,null,2.603,-3.4881,0.647,0.922,10605,1
GO:2000058,"regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process",0.009%,null,null,3.040,-9.9706,0.667,0.808,10605,1
GO:0009896,"positive regulation of catabolic process",0.072%,null,null,3.966,-3.7986,0.724,0.930,10605,1
GO:0009892,"negative regulation of metabolic process",1.260%,null,null,5.209,-18.2269,0.745,0.871,10605,1
GO:1903052,"positive regulation of proteolysis involved in cellular protein catabolic process",0.034%,null,null,3.636,-6.2480,0.647,0.952,10605,1
GO:1903050,"regulation of proteolysis involved in cellular protein catabolic process",0.056%,null,null,3.853,-7.7258,0.655,0.875,10605,1
GO:0071156,"regulation of cell cycle arrest",0.013%,null,null,3.230,-4.0953,0.682,0.655,10605,1
GO:0006977,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",0.002%,null,null,2.453,-3.8665,0.631,0.933,10605,1
GO:1904667,"negative regulation of ubiquitin protein ligase activity",0.004%,null,null,2.740,-11.3478,0.694,0.912,10605,1
GO:1904668,"positive regulation of ubiquitin protein ligase activity",0.024%,null,null,3.488,-8.8239,0.685,0.966,10605,1
GO:1904666,"regulation of ubiquitin protein ligase activity",0.028%,null,null,3.551,-11.3768,0.704,0.864,10605,1
GO:0045732,"positive regulation of protein catabolic process",0.054%,null,null,3.844,-4.1643,0.659,0.966,10605,1
GO:0071704,"organic substance metabolic process",58.357%,-0.941,-3.179,6.874,-12.6819,0.968,0.119,71704,0
GO:0044238,"primary metabolic process",53.743%,-0.478,-3.767,6.839,-12.0804,0.968,0.120,44238,0
GO:1903332,"regulation of protein folding",0.001%, 3.887, 5.512,1.929,-3.8125,0.884,0.162,1903332,0
GO:0061469,"regulation of type B pancreatic cell proliferation",0.002%, 3.103, 5.185,2.354,-4.3197,0.867,0.172,61469,0
GO:0046483,"heterocycle metabolic process",29.664%,-7.095,-0.275,6.580,-19.5072,0.888,0.176,46483,0
GO:0007059,"chromosome segregation",0.476%, 5.141,-2.147,4.786,-7.0980,0.863,0.178,7059,0
GO:0043603,"cellular amide metabolic process",6.879%,-7.363, 2.862,5.946,-46.2684,0.860,0.178,43603,0
GO:1903047,"mitotic cell cycle process",0.514%, 4.835,-2.027,4.819,-12.3002,0.722,0.179,1903047,0
GO:0090068,"positive regulation of cell cycle process",0.074%,null,null,3.978,-3.5654,0.651,0.722,1903047,1
GO:0000278,"mitotic cell cycle",0.561%,null,null,4.857,-5.7852,0.748,0.800,1903047,1
GO:0098813,"nuclear chromosome segregation",0.294%,null,null,4.577,-3.4802,0.737,0.834,1903047,1
GO:0051225,"spindle assembly",0.046%,null,null,3.772,-3.3979,0.686,0.925,1903047,1
GO:0051726,"regulation of cell cycle",0.547%,null,null,4.846,-8.1180,0.676,0.798,1903047,1
GO:0044772,"mitotic cell cycle phase transition",0.201%,null,null,4.411,-6.4737,0.724,0.977,1903047,1
GO:0044770,"cell cycle phase transition",0.207%,null,null,4.424,-6.1574,0.750,0.787,1903047,1
GO:0045930,"negative regulation of mitotic cell cycle",0.132%,null,null,4.230,-6.0022,0.639,0.907,1903047,1
GO:0044839,"cell cycle G2/M phase transition",0.054%,null,null,3.840,-4.3098,0.753,0.883,1903047,1
GO:0007346,"regulation of mitotic cell cycle",0.269%,null,null,4.537,-7.6459,0.660,0.921,1903047,1
GO:1902806,"regulation of cell cycle G1/S phase transition",0.033%,null,null,3.628,-3.5200,0.686,0.886,1903047,1
GO:1902099,"regulation of metaphase/anaphase transition of cell cycle",0.074%,null,null,3.979,-3.4473,0.598,0.997,1903047,1
GO:0010564,"regulation of cell cycle process",0.312%,null,null,4.603,-6.2154,0.656,0.816,1903047,1
GO:0008608,"attachment of spindle microtubules to kinetochore",0.037%,null,null,3.672,-4.6383,0.769,0.683,1903047,1
GO:1902749,"regulation of cell cycle G2/M phase transition",0.041%,null,null,3.716,-5.3737,0.681,0.938,1903047,1
GO:1902750,"negative regulation of cell cycle G2/M phase transition",0.027%,null,null,3.546,-6.9245,0.659,0.951,1903047,1
GO:0030071,"regulation of mitotic metaphase/anaphase transition",0.073%,null,null,3.974,-3.5200,0.594,0.939,1903047,1
GO:1901987,"regulation of cell cycle phase transition",0.163%,null,null,4.320,-6.8633,0.656,0.959,1903047,1
GO:1901988,"negative regulation of cell cycle phase transition",0.090%,null,null,4.063,-6.3143,0.637,0.952,1903047,1
GO:0010965,"regulation of mitotic sister chromatid separation",0.074%,null,null,3.980,-3.8665,0.600,0.996,1903047,1
GO:0010972,"negative regulation of G2/M transition of mitotic cell cycle",0.027%,null,null,3.540,-6.3872,0.656,0.764,1903047,1
GO:1901990,"regulation of mitotic cell cycle phase transition",0.158%,null,null,4.308,-7.0878,0.651,0.880,1903047,1
GO:1901991,"negative regulation of mitotic cell cycle phase transition",0.088%,null,null,4.055,-6.1215,0.634,0.951,1903047,1
GO:0010948,"negative regulation of cell cycle process",0.137%,null,null,4.246,-6.1986,0.636,0.882,1903047,1
GO:0007088,"regulation of mitotic nuclear division",0.127%,null,null,4.213,-3.8041,0.593,0.900,1903047,1
GO:0051983,"regulation of chromosome segregation",0.098%,null,null,4.098,-3.8447,0.783,0.717,1903047,1
GO:0007052,"mitotic spindle organization",0.049%,null,null,3.796,-3.9318,0.687,0.799,1903047,1
GO:0010389,"regulation of G2/M transition of mitotic cell cycle",0.039%,null,null,3.704,-5.0964,0.677,0.973,1903047,1
GO:0000086,"G2/M transition of mitotic cell cycle",0.052%,null,null,3.827,-4.3990,0.748,0.979,1903047,1
GO:0022402,"cell cycle process",1.053%,null,null,5.131,-9.7077,0.735,0.793,1903047,1
GO:0045787,"positive regulation of cell cycle",0.107%,null,null,4.138,-5.5544,0.656,0.822,1903047,1
GO:0045786,"negative regulation of cell cycle",0.246%,null,null,4.499,-4.8447,0.639,0.880,1903047,1
GO:0019538,"protein metabolic process",18.489%,-2.578, 7.155,6.375,-16.8665,0.885,0.183,19538,0
GO:0019083,"viral transcription",0.012%,-4.332, 4.940,3.203,-74.5607,0.846,0.184,19083,0
GO:0016032,"viral process",0.131%,null,null,4.226,-56.1765,0.939,0.816,19083,1
GO:0044419,"interspecies interaction between organisms",0.262%,null,null,4.526,-48.9957,0.977,0.650,19083,1
GO:0019058,"viral life cycle",0.109%,null,null,4.145,-3.3979,0.939,0.947,19083,1
GO:0044403,"symbiosis, encompassing mutualism through parasitism",0.168%,null,null,4.335,-56.1765,0.975,0.911,19083,1
GO:0051301,"cell division",1.230%, 5.571,-3.049,5.198,-6.7520,0.852,0.195,51301,0
GO:0043170,"macromolecule metabolic process",39.491%,-4.873, 1.570,6.705,-14.5560,0.927,0.211,43170,0
GO:0051348,"negative regulation of transferase activity",0.088%, 4.669, 6.353,4.053,-10.4559,0.837,0.219,51348,0
GO:0051338,"regulation of transferase activity",0.368%,null,null,4.674,-6.8539,0.834,0.646,51348,1
GO:0043086,"negative regulation of catalytic activity",0.400%,null,null,4.710,-5.4353,0.829,0.852,51348,1
GO:0051347,"positive regulation of transferase activity",0.188%,null,null,4.382,-4.6216,0.830,0.839,51348,1
GO:0044092,"negative regulation of molecular function",0.462%,null,null,4.773,-4.6778,0.832,0.727,51348,1
GO:0000079,"regulation of cyclin-dependent protein serine/threonine kinase activity",0.063%,null,null,3.909,-3.6216,0.561,0.775,51348,1
GO:0007049,"cell cycle",1.885%, 5.457,-2.413,5.384,-3.7144,0.846,0.223,7049,0
GO:0015833,"peptide transport",0.298%, 0.166,-6.398,4.582,-23.7620,0.922,0.227,15833,0
GO:0042886,"amide transport",0.337%,null,null,4.636,-23.0114,0.932,0.689,15833,1
GO:0006839,"mitochondrial transport",0.182%, 1.207,-6.787,4.369,-7.2055,0.938,0.236,6839,0
GO:0006725,"cellular aromatic compound metabolic process",29.628%,-6.826,-0.042,6.580,-18.3410,0.888,0.245,6725,0
GO:0042981,"regulation of apoptotic process",0.313%, 4.376, 4.095,4.604,-6.3344,0.737,0.259,42981,0
GO:2001233,"regulation of apoptotic signaling pathway",0.074%,null,null,3.980,-5.7235,0.725,0.882,42981,1
GO:1902229,"regulation of intrinsic apoptotic signaling pathway in response to DNA damage",0.007%,null,null,2.967,-4.3757,0.744,0.846,42981,1
GO:1902230,"negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage",0.005%,null,null,2.818,-3.4949,0.715,0.871,42981,1
GO:2001244,"positive regulation of intrinsic apoptotic signaling pathway",0.011%,null,null,3.138,-4.3635,0.720,0.867,42981,1
GO:2001242,"regulation of intrinsic apoptotic signaling pathway",0.030%,null,null,3.589,-6.4498,0.734,0.825,42981,1
GO:0060548,"negative regulation of cell death",0.191%,null,null,4.390,-3.9830,0.694,0.940,42981,1
GO:0043069,"negative regulation of programmed cell death",0.177%,null,null,4.357,-3.9586,0.695,0.984,42981,1
GO:0043065,"positive regulation of apoptotic process",0.105%,null,null,4.130,-3.4365,0.722,0.906,42981,1
GO:0043066,"negative regulation of apoptotic process",0.173%,null,null,4.347,-3.6925,0.695,0.944,42981,1
GO:0043067,"regulation of programmed cell death",0.322%,null,null,4.616,-6.3497,0.737,0.983,42981,1
GO:0010941,"regulation of cell death",0.344%,null,null,4.645,-5.6696,0.739,0.937,42981,1
GO:0006915,"apoptotic process",0.406%,null,null,4.717,-4.9586,0.815,0.963,42981,1
GO:0034660,"ncRNA metabolic process",3.407%,-5.349, 5.114,5.641,-51.1605,0.805,0.269,34660,0
GO:0051641,"cellular localization",2.041%, 0.093,-6.277,5.418,-22.3206,0.925,0.283,51641,0
GO:0045454,"cell redox homeostasis",0.861%, 5.079, 3.860,5.043,-4.6840,0.759,0.288,45454,0
GO:0031647,"regulation of protein stability",0.070%,null,null,3.951,-3.4921,0.873,0.544,45454,1
GO:0055086,"nucleobase-containing small molecule metabolic process",4.917%,-5.958, 1.351,5.800,-4.4660,0.739,0.305,55086,0
GO:0034641,"cellular nitrogen compound metabolic process",34.137%,-6.915, 2.488,6.641,-23.1457,0.839,0.310,34641,0
GO:0070498,"interleukin-1-mediated signaling pathway",0.005%, 6.086, 3.948,2.792,-3.7959,0.818,0.315,70498,0
