"ocun_ensembl_gid","ocun_feature_length"
"ENSOCUG00000000085",1063
"ENSOCUG00000000086",2213
"ENSOCUG00000000087",726
"ENSOCUG00000000089",495
"ENSOCUG00000000090",6961
"ENSOCUG00000000091",2155
"ENSOCUG00000000092",6173
"ENSOCUG00000000093",2274
"ENSOCUG00000000094",2180
"ENSOCUG00000000095",1839
"ENSOCUG00000000096",783
"ENSOCUG00000000097",7409
"ENSOCUG00000000098",1971
"ENSOCUG00000000100",2017
"ENSOCUG00000000101",1449
"ENSOCUG00000000102",4599
"ENSOCUG00000000103",2441
"ENSOCUG00000000104",4012
"ENSOCUG00000000105",5507
"ENSOCUG00000000107",6143
"ENSOCUG00000000108",603
"ENSOCUG00000000109",6635
"ENSOCUG00000000111",8511
"ENSOCUG00000000114",1656
"ENSOCUG00000000116",990
"ENSOCUG00000000117",1059
"ENSOCUG00000000119",1023
"ENSOCUG00000000120",2231
"ENSOCUG00000000121",2243
"ENSOCUG00000000122",5441
"ENSOCUG00000000123",1262
"ENSOCUG00000000125",840
"ENSOCUG00000000127",1827
"ENSOCUG00000000128",5618
"ENSOCUG00000000129",3393
"ENSOCUG00000000131",3433
"ENSOCUG00000000133",3401
"ENSOCUG00000000134",2281
"ENSOCUG00000000136",4636
"ENSOCUG00000000137",6269
"ENSOCUG00000000140",3222
"ENSOCUG00000000141",1959
"ENSOCUG00000000142",7958
"ENSOCUG00000000143",456
"ENSOCUG00000000144",1853
"ENSOCUG00000000145",1401
"ENSOCUG00000000146",6328
"ENSOCUG00000000147",684
"ENSOCUG00000000148",724
"ENSOCUG00000000149",1743
"ENSOCUG00000000151",872
"ENSOCUG00000000152",2655
"ENSOCUG00000000153",1095
"ENSOCUG00000000154",441
"ENSOCUG00000000155",2544
"ENSOCUG00000000156",2751
"ENSOCUG00000000157",1471
"ENSOCUG00000000158",2706
"ENSOCUG00000000159",1425
"ENSOCUG00000000161",1488
"ENSOCUG00000000162",579
"ENSOCUG00000000163",5682
"ENSOCUG00000000164",1185
"ENSOCUG00000000165",1027
"ENSOCUG00000000166",3863
"ENSOCUG00000000167",4942
"ENSOCUG00000000169",807
"ENSOCUG00000000170",8424
"ENSOCUG00000000171",384
"ENSOCUG00000000172",6134
"ENSOCUG00000000173",6826
"ENSOCUG00000000174",3136.5
"ENSOCUG00000000175",918
"ENSOCUG00000000176",1533
"ENSOCUG00000000178",2194
"ENSOCUG00000000179",761
"ENSOCUG00000000181",1296
"ENSOCUG00000000182",441
"ENSOCUG00000000184",6495
"ENSOCUG00000000185",4827
"ENSOCUG00000000186",3174
"ENSOCUG00000000187",1680
"ENSOCUG00000000188",5976
"ENSOCUG00000000191",3050
"ENSOCUG00000000193",2958
"ENSOCUG00000000194",1536
"ENSOCUG00000000195",270
"ENSOCUG00000000197",2736
"ENSOCUG00000000199",2925
"ENSOCUG00000000200",2691
"ENSOCUG00000000201",1617
"ENSOCUG00000000203",3236
"ENSOCUG00000000204",939
"ENSOCUG00000000205",243
"ENSOCUG00000000206",686
"ENSOCUG00000000208",5699
"ENSOCUG00000000210",1971
"ENSOCUG00000000213",2770
"ENSOCUG00000000214",801
"ENSOCUG00000000215",4210
"ENSOCUG00000000218",1117
"ENSOCUG00000000219",813
"ENSOCUG00000000220",4691
"ENSOCUG00000000221",231
"ENSOCUG00000000222",3846
"ENSOCUG00000000224",990.5
"ENSOCUG00000000227",4158
"ENSOCUG00000000228",1277
"ENSOCUG00000000229",7487
"ENSOCUG00000000230",1869
"ENSOCUG00000000231",930
"ENSOCUG00000000232",489
"ENSOCUG00000000233",1965
"ENSOCUG00000000234",3840
"ENSOCUG00000000236",1164
"ENSOCUG00000000237",2810
"ENSOCUG00000000239",459
"ENSOCUG00000000241",402
"ENSOCUG00000000242",2949
"ENSOCUG00000000243",374
"ENSOCUG00000000244",1788
"ENSOCUG00000000245",2352
"ENSOCUG00000000247",2295
"ENSOCUG00000000248",510
"ENSOCUG00000000249",2841
"ENSOCUG00000000250",456
"ENSOCUG00000000251",4147
"ENSOCUG00000000252",600
"ENSOCUG00000000255",4848
"ENSOCUG00000000256",2289
"ENSOCUG00000000258",6001
"ENSOCUG00000000259",612
"ENSOCUG00000000263",6332
"ENSOCUG00000000264",16161
"ENSOCUG00000000265",2900
"ENSOCUG00000000266",1929
"ENSOCUG00000000268",9430
"ENSOCUG00000000269",1674
"ENSOCUG00000000270",1122
"ENSOCUG00000000271",3881
"ENSOCUG00000000272",3054
"ENSOCUG00000000274",6341
"ENSOCUG00000000276",3374
"ENSOCUG00000000277",1602
"ENSOCUG00000000278",5890
"ENSOCUG00000000280",4036
"ENSOCUG00000000281",1854
"ENSOCUG00000000285",1898
"ENSOCUG00000000286",2959
"ENSOCUG00000000289",3337.5
"ENSOCUG00000000290",2958
"ENSOCUG00000000291",1532
"ENSOCUG00000000292",7026
"ENSOCUG00000000293",6205
"ENSOCUG00000000297",492
"ENSOCUG00000000298",1113
"ENSOCUG00000000299",630
"ENSOCUG00000000300",2161.5
"ENSOCUG00000000301",1371
"ENSOCUG00000000302",738
"ENSOCUG00000000303",3876
"ENSOCUG00000000304",5546
"ENSOCUG00000000305",5628
"ENSOCUG00000000306",735
"ENSOCUG00000000307",1671
"ENSOCUG00000000308",1302
"ENSOCUG00000000309",582
"ENSOCUG00000000310",3813
"ENSOCUG00000000312",6016.5
"ENSOCUG00000000313",4536
"ENSOCUG00000000315",5794
"ENSOCUG00000000318",786
"ENSOCUG00000000319",1188
"ENSOCUG00000000320",886.5
"ENSOCUG00000000321",1617
"ENSOCUG00000000322",1905
"ENSOCUG00000000323",5223
"ENSOCUG00000000324",3111
"ENSOCUG00000000325",1002
"ENSOCUG00000000326",2760
"ENSOCUG00000000328",1146
"ENSOCUG00000000329",4733
"ENSOCUG00000000330",1475
"ENSOCUG00000000331",867
"ENSOCUG00000000333",4110
"ENSOCUG00000000334",1860
"ENSOCUG00000000336",1743
"ENSOCUG00000000338",1321
"ENSOCUG00000000339",1701
"ENSOCUG00000000341",5672
"ENSOCUG00000000342",3333
"ENSOCUG00000000343",2166
"ENSOCUG00000000344",1812
"ENSOCUG00000000345",3874
"ENSOCUG00000000346",1588.5
"ENSOCUG00000000347",666
"ENSOCUG00000000348",5121
"ENSOCUG00000000349",2280
"ENSOCUG00000000350",960
"ENSOCUG00000000353",1227
"ENSOCUG00000000354",1432
"ENSOCUG00000000355",2283
"ENSOCUG00000000356",1614
"ENSOCUG00000000357",492
"ENSOCUG00000000358",561
"ENSOCUG00000000359",2708
"ENSOCUG00000000360",2830
"ENSOCUG00000000361",1188
"ENSOCUG00000000363",861
"ENSOCUG00000000364",672
"ENSOCUG00000000365",5560
"ENSOCUG00000000367",5538
"ENSOCUG00000000368",3162
"ENSOCUG00000000370",6893
"ENSOCUG00000000371",1495
"ENSOCUG00000000373",939
"ENSOCUG00000000374",5681
"ENSOCUG00000000375",2136
"ENSOCUG00000000377",2181
"ENSOCUG00000000378",1257
"ENSOCUG00000000379",1617
"ENSOCUG00000000380",5435
"ENSOCUG00000000381",1887
"ENSOCUG00000000382",3461
"ENSOCUG00000000383",2584
"ENSOCUG00000000384",4366
"ENSOCUG00000000385",2633
"ENSOCUG00000000386",729
"ENSOCUG00000000387",2642
"ENSOCUG00000000388",2671
"ENSOCUG00000000389",3234
"ENSOCUG00000000391",5271
"ENSOCUG00000000392",884
"ENSOCUG00000000393",904
"ENSOCUG00000000397",8964
"ENSOCUG00000000398",2643
"ENSOCUG00000000399",870
"ENSOCUG00000000401",4943
"ENSOCUG00000000402",1593
"ENSOCUG00000000403",5471
"ENSOCUG00000000404",6754
"ENSOCUG00000000405",5007
"ENSOCUG00000000406",3399
"ENSOCUG00000000407",1546.5
"ENSOCUG00000000408",4275
"ENSOCUG00000000409",6757
"ENSOCUG00000000410",2929
"ENSOCUG00000000412",2139
"ENSOCUG00000000416",1866
"ENSOCUG00000000417",405
"ENSOCUG00000000418",1014
"ENSOCUG00000000421",762
"ENSOCUG00000000422",1221
"ENSOCUG00000000423",5417
"ENSOCUG00000000425",3363.5
"ENSOCUG00000000426",615
"ENSOCUG00000000427",5809
"ENSOCUG00000000429",5796
"ENSOCUG00000000431",773
"ENSOCUG00000000432",4112
"ENSOCUG00000000435",2461
"ENSOCUG00000000436",3659
"ENSOCUG00000000437",3177
"ENSOCUG00000000438",606
"ENSOCUG00000000439",4991
"ENSOCUG00000000440",1419
"ENSOCUG00000000441",1614
"ENSOCUG00000000442",3682.5
"ENSOCUG00000000444",1874
"ENSOCUG00000000445",363
"ENSOCUG00000000446",4291
"ENSOCUG00000000448",6375
"ENSOCUG00000000451",2970
"ENSOCUG00000000454",315
"ENSOCUG00000000455",4822
"ENSOCUG00000000457",448
"ENSOCUG00000000459",4973
"ENSOCUG00000000460",4263
"ENSOCUG00000000461",873
"ENSOCUG00000000462",2893
"ENSOCUG00000000463",4910
"ENSOCUG00000000464",1524
"ENSOCUG00000000466",2766
"ENSOCUG00000000467",670
"ENSOCUG00000000468",894
"ENSOCUG00000000470",575
"ENSOCUG00000000471",4543
"ENSOCUG00000000472",2652
"ENSOCUG00000000473",1884
"ENSOCUG00000000474",3070
"ENSOCUG00000000475",2351
"ENSOCUG00000000476",488
"ENSOCUG00000000477",1962
"ENSOCUG00000000478",4834
"ENSOCUG00000000479",1710
"ENSOCUG00000000481",1868
"ENSOCUG00000000482",2144
"ENSOCUG00000000483",2760
"ENSOCUG00000000484",5479
"ENSOCUG00000000485",1449
"ENSOCUG00000000486",2676
"ENSOCUG00000000487",1017
"ENSOCUG00000000488",4384
"ENSOCUG00000000489",3471
"ENSOCUG00000000490",363
"ENSOCUG00000000491",6759
"ENSOCUG00000000493",4210
"ENSOCUG00000000494",1106
"ENSOCUG00000000495",507
"ENSOCUG00000000498",2519
"ENSOCUG00000000499",2649
"ENSOCUG00000000500",282
"ENSOCUG00000000501",2475
"ENSOCUG00000000502",1733
"ENSOCUG00000000503",2618
"ENSOCUG00000000504",1352
"ENSOCUG00000000506",813
"ENSOCUG00000000507",1485
"ENSOCUG00000000508",1891
"ENSOCUG00000000509",1026
"ENSOCUG00000000510",6317
"ENSOCUG00000000511",4097
"ENSOCUG00000000512",1884
"ENSOCUG00000000513",1588
"ENSOCUG00000000515",1276
"ENSOCUG00000000516",2094
"ENSOCUG00000000517",933
"ENSOCUG00000000518",3081
"ENSOCUG00000000520",979
"ENSOCUG00000000521",2496
"ENSOCUG00000000522",420
"ENSOCUG00000000524",540
"ENSOCUG00000000525",739
"ENSOCUG00000000526",1567
"ENSOCUG00000000527",2796
"ENSOCUG00000000528",564
"ENSOCUG00000000530",547
"ENSOCUG00000000531",2310
"ENSOCUG00000000532",2475
"ENSOCUG00000000533",507
"ENSOCUG00000000534",1834
"ENSOCUG00000000535",976
"ENSOCUG00000000536",2591
"ENSOCUG00000000539",1937
"ENSOCUG00000000540",2045.5
"ENSOCUG00000000541",1717
"ENSOCUG00000000543",948
"ENSOCUG00000000544",741
"ENSOCUG00000000545",894
"ENSOCUG00000000547",3929
"ENSOCUG00000000548",1083
"ENSOCUG00000000551",3984
"ENSOCUG00000000552",2103
"ENSOCUG00000000553",483
"ENSOCUG00000000554",2928
"ENSOCUG00000000555",4665
"ENSOCUG00000000557",8846
"ENSOCUG00000000558",3297
"ENSOCUG00000000559",174
"ENSOCUG00000000560",4056
"ENSOCUG00000000561",549
"ENSOCUG00000000562",2200
"ENSOCUG00000000563",3157
"ENSOCUG00000000564",1987
"ENSOCUG00000000565",3286
"ENSOCUG00000000566",2085
"ENSOCUG00000000567",963
"ENSOCUG00000000568",1109
"ENSOCUG00000000569",3253
"ENSOCUG00000000570",1640
"ENSOCUG00000000572",762
"ENSOCUG00000000573",2297
"ENSOCUG00000000574",5821
"ENSOCUG00000000575",2383
"ENSOCUG00000000576",2075
"ENSOCUG00000000577",4890
"ENSOCUG00000000578",1590
"ENSOCUG00000000579",1536
"ENSOCUG00000000580",5008
"ENSOCUG00000000581",2212.5
"ENSOCUG00000000582",2106
"ENSOCUG00000000583",4393
"ENSOCUG00000000584",1130
"ENSOCUG00000000585",2245
"ENSOCUG00000000586",833
"ENSOCUG00000000587",10408
"ENSOCUG00000000588",520
"ENSOCUG00000000589",405
"ENSOCUG00000000590",957
"ENSOCUG00000000591",1533
"ENSOCUG00000000592",2769
"ENSOCUG00000000593",10333
"ENSOCUG00000000594",4991
"ENSOCUG00000000595",1300
"ENSOCUG00000000596",726
"ENSOCUG00000000597",1362
"ENSOCUG00000000598",2330
"ENSOCUG00000000601",1779
"ENSOCUG00000000602",1155
"ENSOCUG00000000603",5353
"ENSOCUG00000000604",1350
"ENSOCUG00000000605",1656
"ENSOCUG00000000606",1676
"ENSOCUG00000000607",1344
"ENSOCUG00000000608",7186
"ENSOCUG00000000609",2446
"ENSOCUG00000000611",2445
"ENSOCUG00000000612",3120
"ENSOCUG00000000613",4861
"ENSOCUG00000000614",1599
"ENSOCUG00000000615",1841
"ENSOCUG00000000616",1092
"ENSOCUG00000000617",1797
"ENSOCUG00000000618",2321
"ENSOCUG00000000619",4755
"ENSOCUG00000000621",1457
"ENSOCUG00000000623",3921
"ENSOCUG00000000624",2259
"ENSOCUG00000000625",5441
"ENSOCUG00000000626",3207.5
"ENSOCUG00000000628",1059
"ENSOCUG00000000629",6269
"ENSOCUG00000000630",4998
"ENSOCUG00000000631",4211
"ENSOCUG00000000632",897
"ENSOCUG00000000633",6672
"ENSOCUG00000000634",1035
"ENSOCUG00000000635",6489
"ENSOCUG00000000636",1581
"ENSOCUG00000000637",735
"ENSOCUG00000000638",6506
"ENSOCUG00000000641",714
"ENSOCUG00000000644",939
"ENSOCUG00000000645",3719
"ENSOCUG00000000648",1065
"ENSOCUG00000000649",4737
"ENSOCUG00000000650",1928
"ENSOCUG00000000651",3063
"ENSOCUG00000000652",471
"ENSOCUG00000000653",1370
"ENSOCUG00000000655",2476
"ENSOCUG00000000656",1938
"ENSOCUG00000000657",7375
"ENSOCUG00000000658",5402
"ENSOCUG00000000659",897
"ENSOCUG00000000660",1155
"ENSOCUG00000000661",1008
"ENSOCUG00000000663",1131
"ENSOCUG00000000664",1470
"ENSOCUG00000000666",4795
"ENSOCUG00000000668",2037
"ENSOCUG00000000669",2166
"ENSOCUG00000000670",2448
"ENSOCUG00000000671",5473
"ENSOCUG00000000672",2994
"ENSOCUG00000000673",906
"ENSOCUG00000000674",1868
"ENSOCUG00000000676",3478
"ENSOCUG00000000677",27656
"ENSOCUG00000000678",3294
"ENSOCUG00000000679",2736
"ENSOCUG00000000680",5854
"ENSOCUG00000000681",1584
"ENSOCUG00000000682",5455
"ENSOCUG00000000683",1729
"ENSOCUG00000000684",3433
"ENSOCUG00000000686",1062
"ENSOCUG00000000687",2088
"ENSOCUG00000000688",642
"ENSOCUG00000000689",402
"ENSOCUG00000000691",954
"ENSOCUG00000000692",5460
"ENSOCUG00000000693",1011
"ENSOCUG00000000694",2152
"ENSOCUG00000000695",5010
"ENSOCUG00000000696",5695
"ENSOCUG00000000697",2478
"ENSOCUG00000000698",1488
"ENSOCUG00000000699",11392
"ENSOCUG00000000700",948
"ENSOCUG00000000702",939
"ENSOCUG00000000703",5313
"ENSOCUG00000000704",942
"ENSOCUG00000000705",948
"ENSOCUG00000000706",6279
"ENSOCUG00000000707",3620
"ENSOCUG00000000708",1338
"ENSOCUG00000000709",1107
"ENSOCUG00000000711",510
"ENSOCUG00000000713",3789
"ENSOCUG00000000714",1816
"ENSOCUG00000000715",2722
"ENSOCUG00000000716",834
"ENSOCUG00000000717",4931
"ENSOCUG00000000718",2448
"ENSOCUG00000000719",1218
"ENSOCUG00000000720",1284
"ENSOCUG00000000721",3561
"ENSOCUG00000000722",4024
"ENSOCUG00000000723",2495
"ENSOCUG00000000724",1536
"ENSOCUG00000000725",990
"ENSOCUG00000000726",810
"ENSOCUG00000000727",2538
"ENSOCUG00000000728",908
"ENSOCUG00000000729",4367
"ENSOCUG00000000730",1613
"ENSOCUG00000000731",4050
"ENSOCUG00000000732",2670
"ENSOCUG00000000733",1662
"ENSOCUG00000000734",1009
"ENSOCUG00000000736",5032
"ENSOCUG00000000737",1938
"ENSOCUG00000000738",1017.5
"ENSOCUG00000000739",1833
"ENSOCUG00000000740",1476
"ENSOCUG00000000741",4490
"ENSOCUG00000000742",1650
"ENSOCUG00000000743",984
"ENSOCUG00000000744",5150
"ENSOCUG00000000747",4059
"ENSOCUG00000000749",2241
"ENSOCUG00000000750",2983
"ENSOCUG00000000751",3238
"ENSOCUG00000000752",303
"ENSOCUG00000000754",1413
"ENSOCUG00000000755",2663
"ENSOCUG00000000756",2103
"ENSOCUG00000000757",2394
"ENSOCUG00000000758",1311
"ENSOCUG00000000760",6387
"ENSOCUG00000000761",1299
"ENSOCUG00000000763",1941
"ENSOCUG00000000764",4404
"ENSOCUG00000000765",3133
"ENSOCUG00000000766",948
"ENSOCUG00000000769",2128
"ENSOCUG00000000771",1789
"ENSOCUG00000000774",6219
"ENSOCUG00000000775",1398
"ENSOCUG00000000776",3019.5
"ENSOCUG00000000777",3417
"ENSOCUG00000000778",3761
"ENSOCUG00000000779",2862
"ENSOCUG00000000780",4410
"ENSOCUG00000000781",1021
"ENSOCUG00000000784",3547
"ENSOCUG00000000785",489
"ENSOCUG00000000786",3862
"ENSOCUG00000000787",8243
"ENSOCUG00000000788",3888
"ENSOCUG00000000789",3053
"ENSOCUG00000000790",802
"ENSOCUG00000000791",555
"ENSOCUG00000000792",2551
"ENSOCUG00000000793",2830
"ENSOCUG00000000794",3534
"ENSOCUG00000000795",795
"ENSOCUG00000000796",2680
"ENSOCUG00000000797",711
"ENSOCUG00000000798",2559
"ENSOCUG00000000799",996
"ENSOCUG00000000800",1012.5
"ENSOCUG00000000802",1323
"ENSOCUG00000000803",2814
"ENSOCUG00000000804",1247
"ENSOCUG00000000805",636
"ENSOCUG00000000806",2322
"ENSOCUG00000000807",1560
"ENSOCUG00000000809",1134
"ENSOCUG00000000810",7832
"ENSOCUG00000000811",939
"ENSOCUG00000000812",3765
"ENSOCUG00000000813",270
"ENSOCUG00000000814",792
"ENSOCUG00000000815",1620
"ENSOCUG00000000816",2349
"ENSOCUG00000000817",3800
"ENSOCUG00000000818",5374
"ENSOCUG00000000819",1210
"ENSOCUG00000000820",2329
"ENSOCUG00000000821",3179.5
"ENSOCUG00000000822",5258
"ENSOCUG00000000823",2627
"ENSOCUG00000000824",758
"ENSOCUG00000000825",1918
"ENSOCUG00000000826",4457
"ENSOCUG00000000827",4679
"ENSOCUG00000000828",10041
"ENSOCUG00000000829",3485
"ENSOCUG00000000830",7951
"ENSOCUG00000000831",4947
"ENSOCUG00000000832",1039
"ENSOCUG00000000833",1746
"ENSOCUG00000000834",5250
"ENSOCUG00000000835",2654
"ENSOCUG00000000836",2368
"ENSOCUG00000000837",1914
"ENSOCUG00000000838",945
"ENSOCUG00000000841",297
"ENSOCUG00000000843",1065
"ENSOCUG00000000847",9412
"ENSOCUG00000000848",5580
"ENSOCUG00000000849",1945
"ENSOCUG00000000850",1074
"ENSOCUG00000000851",471
"ENSOCUG00000000852",1553
"ENSOCUG00000000853",803
"ENSOCUG00000000854",738
"ENSOCUG00000000855",2097
"ENSOCUG00000000856",1269
"ENSOCUG00000000857",2193
"ENSOCUG00000000859",1413
"ENSOCUG00000000861",1441
"ENSOCUG00000000863",7425
"ENSOCUG00000000864",1652
"ENSOCUG00000000865",2357
"ENSOCUG00000000866",1965
"ENSOCUG00000000867",644
"ENSOCUG00000000868",1079
"ENSOCUG00000000869",747
"ENSOCUG00000000872",5225
"ENSOCUG00000000874",3247
"ENSOCUG00000000875",4279
"ENSOCUG00000000876",2951.5
"ENSOCUG00000000877",1435
"ENSOCUG00000000878",567
"ENSOCUG00000000880",7857
"ENSOCUG00000000881",3802
"ENSOCUG00000000882",771
"ENSOCUG00000000883",2864
"ENSOCUG00000000884",4221
"ENSOCUG00000000885",1937
"ENSOCUG00000000887",565.5
"ENSOCUG00000000888",3286
"ENSOCUG00000000889",600
"ENSOCUG00000000894",387
"ENSOCUG00000000895",3339
"ENSOCUG00000000896",834
"ENSOCUG00000000897",1726
"ENSOCUG00000000898",4605
"ENSOCUG00000000901",4667
"ENSOCUG00000000903",6155
"ENSOCUG00000000905",3281
"ENSOCUG00000000906",6354
"ENSOCUG00000000907",6104
"ENSOCUG00000000908",1389
"ENSOCUG00000000909",2721
"ENSOCUG00000000910",3732
"ENSOCUG00000000911",1842
"ENSOCUG00000000912",948
"ENSOCUG00000000915",1170
"ENSOCUG00000000916",1045
"ENSOCUG00000000918",1646
"ENSOCUG00000000919",3888
"ENSOCUG00000000920",477
"ENSOCUG00000000921",3158
"ENSOCUG00000000922",2836
"ENSOCUG00000000923",603
"ENSOCUG00000000924",1500
"ENSOCUG00000000925",2690
"ENSOCUG00000000927",3123
"ENSOCUG00000000928",2250
"ENSOCUG00000000929",468
"ENSOCUG00000000930",5179
"ENSOCUG00000000931",1931
"ENSOCUG00000000932",1023
"ENSOCUG00000000933",1297
"ENSOCUG00000000934",1471
"ENSOCUG00000000936",1761
"ENSOCUG00000000937",924
"ENSOCUG00000000938",1296
"ENSOCUG00000000939",873
"ENSOCUG00000000940",734
"ENSOCUG00000000941",1818
"ENSOCUG00000000942",1663
"ENSOCUG00000000943",1890
"ENSOCUG00000000944",2989
"ENSOCUG00000000945",750
"ENSOCUG00000000947",1290
"ENSOCUG00000000948",1854
"ENSOCUG00000000950",1428
"ENSOCUG00000000953",2511
"ENSOCUG00000000956",7798
"ENSOCUG00000000957",453
"ENSOCUG00000000958",363
"ENSOCUG00000000959",6197
"ENSOCUG00000000960",6396
"ENSOCUG00000000962",2598
"ENSOCUG00000000963",960
"ENSOCUG00000000965",2243
"ENSOCUG00000000966",2523
"ENSOCUG00000000967",897
"ENSOCUG00000000968",2432
"ENSOCUG00000000969",4587
"ENSOCUG00000000972",6511
"ENSOCUG00000000973",783
"ENSOCUG00000000974",1770
"ENSOCUG00000000977",743
"ENSOCUG00000000978",1928
"ENSOCUG00000000979",2121
"ENSOCUG00000000980",3272
"ENSOCUG00000000981",3020
"ENSOCUG00000000982",3030
"ENSOCUG00000000983",1322
"ENSOCUG00000000984",5414
"ENSOCUG00000000986",4148
"ENSOCUG00000000987",2650
"ENSOCUG00000000988",5246
"ENSOCUG00000000989",675
"ENSOCUG00000000990",2090
"ENSOCUG00000000991",1630
"ENSOCUG00000000996",7134
"ENSOCUG00000000997",1644
"ENSOCUG00000000998",1038
"ENSOCUG00000000999",2128
"ENSOCUG00000001001",1372
"ENSOCUG00000001002",1034
"ENSOCUG00000001004",942
"ENSOCUG00000001005",7447
"ENSOCUG00000001006",5037
"ENSOCUG00000001008",1892
"ENSOCUG00000001009",4851
"ENSOCUG00000001011",2370
"ENSOCUG00000001012",1752
"ENSOCUG00000001013",4096
"ENSOCUG00000001015",1410
"ENSOCUG00000001016",12337
"ENSOCUG00000001018",1401
"ENSOCUG00000001019",1554
"ENSOCUG00000001020",2562
"ENSOCUG00000001021",741
"ENSOCUG00000001022",5318
"ENSOCUG00000001023",5069
"ENSOCUG00000001026",2905
"ENSOCUG00000001027",2027.5
"ENSOCUG00000001028",3923
"ENSOCUG00000001029",3557
"ENSOCUG00000001030",900
"ENSOCUG00000001031",1839
"ENSOCUG00000001032",1176
"ENSOCUG00000001033",1323
"ENSOCUG00000001034",6506
"ENSOCUG00000001035",6474
"ENSOCUG00000001036",1776
"ENSOCUG00000001037",2681
"ENSOCUG00000001039",4029
"ENSOCUG00000001040",2228
"ENSOCUG00000001041",2589
"ENSOCUG00000001042",392
"ENSOCUG00000001043",3200
"ENSOCUG00000001045",1891
"ENSOCUG00000001046",1661
"ENSOCUG00000001047",4332
"ENSOCUG00000001048",9636
"ENSOCUG00000001049",5142
"ENSOCUG00000001050",996
"ENSOCUG00000001051",657
"ENSOCUG00000001052",8715
"ENSOCUG00000001053",897
"ENSOCUG00000001054",5448
"ENSOCUG00000001055",1504
"ENSOCUG00000001057",3172
"ENSOCUG00000001058",1566
"ENSOCUG00000001060",1776
"ENSOCUG00000001061",750
"ENSOCUG00000001062",4407
"ENSOCUG00000001063",1386
"ENSOCUG00000001067",411
"ENSOCUG00000001068",1542
"ENSOCUG00000001069",2971
"ENSOCUG00000001070",1449
"ENSOCUG00000001071",936
"ENSOCUG00000001072",6536
"ENSOCUG00000001073",1791
"ENSOCUG00000001074",945
"ENSOCUG00000001075",1386
"ENSOCUG00000001076",1608
"ENSOCUG00000001077",630
"ENSOCUG00000001078",3384
"ENSOCUG00000001081",2757
"ENSOCUG00000001082",2079
"ENSOCUG00000001083",948
"ENSOCUG00000001084",645
"ENSOCUG00000001085",4566
"ENSOCUG00000001086",1077
"ENSOCUG00000001087",468
"ENSOCUG00000001088",1502
"ENSOCUG00000001089",6091
"ENSOCUG00000001090",2213
"ENSOCUG00000001092",1053
"ENSOCUG00000001093",1388
"ENSOCUG00000001094",951
"ENSOCUG00000001096",816
"ENSOCUG00000001097",1676
"ENSOCUG00000001098",4204
"ENSOCUG00000001099",1995
"ENSOCUG00000001100",684
"ENSOCUG00000001101",1059
"ENSOCUG00000001102",4038
"ENSOCUG00000001103",1398
"ENSOCUG00000001104",3677
"ENSOCUG00000001105",1301
"ENSOCUG00000001106",294
"ENSOCUG00000001107",7147
"ENSOCUG00000001108",871
"ENSOCUG00000001109",4466
"ENSOCUG00000001110",1727
"ENSOCUG00000001111",1974
"ENSOCUG00000001112",11022
"ENSOCUG00000001113",7645
"ENSOCUG00000001114",3128
"ENSOCUG00000001116",780
"ENSOCUG00000001117",1051.5
"ENSOCUG00000001119",1411
"ENSOCUG00000001120",3100
"ENSOCUG00000001121",2435.5
