"mdom_ensembl_gid","mdom_gene_name","dnov_ensembl_gid","dnov_gene_name","dnov_homology_type","ocun_ensembl_gid","ocun_gene_name","ocun_homology_type"
"ENSMODG00000012459","VSIG4","ENSDNOG00000000776","VSIG4","ortholog_one2one","ENSOCUG00000004172","VSIG4","ortholog_one2one"
"ENSMODG00000012494","MSN","ENSDNOG00000019760","MSN","ortholog_one2one","ENSOCUG00000000149","MSN","ortholog_one2one"
"ENSMODG00000008043","","ENSDNOG00000045854","","ortholog_one2one","ENSOCUG00000022863","","ortholog_one2one"
"ENSMODG00000008152","ATP2B3","ENSDNOG00000036158","ATP2B3","ortholog_one2one","ENSOCUG00000029623","ATP2B3","ortholog_one2one"
"ENSMODG00000008192","PNCK","ENSDNOG00000032763","PNCK","ortholog_one2one","ENSOCUG00000002399","PNCK","ortholog_one2one"
"ENSMODG00000008271","SLC6A8","ENSDNOG00000034957","SLC6A8","ortholog_one2one","ENSOCUG00000026260","SLC6A8","ortholog_one2one"
"ENSMODG00000008300","BCAP31","ENSDNOG00000042487","BCAP31","ortholog_one2one","ENSOCUG00000017921","BCAP31","ortholog_one2one"
"ENSMODG00000008330","ABCD1","ENSDNOG00000006107","ABCD1","ortholog_one2one","ENSOCUG00000017922","ABCD1","ortholog_one2one"
"ENSMODG00000008407","PLXNB3","ENSDNOG00000043717","PLXNB3","ortholog_one2one","ENSOCUG00000016506","PLXNB3","ortholog_one2one"
"ENSMODG00000008568","IDH3G","ENSDNOG00000001176","IDH3G","ortholog_one2one","ENSOCUG00000016554","IDH3G","ortholog_one2one"
"ENSMODG00000008581","SSR4","ENSDNOG00000025714","SSR4","ortholog_one2one","ENSOCUG00000027360","SSR4","ortholog_one2one"
"ENSMODG00000008596","PDZD4","ENSDNOG00000034883","PDZD4","ortholog_one2one","ENSOCUG00000017200","PDZD4","ortholog_one2one"
"ENSMODG00000008677","L1CAM","ENSDNOG00000047606","L1CAM","ortholog_one2one","ENSOCUG00000001102","L1CAM","ortholog_one2one"
"ENSMODG00000002236","FRMPD3","ENSDNOG00000041974","FRMPD3","ortholog_one2one","ENSOCUG00000012374","FRMPD3","ortholog_one2one"
"ENSMODG00000002249","PIH1D3","ENSDNOG00000030601","PIH1D3","ortholog_one2one","ENSOCUG00000002843","PIH1D3","ortholog_one2one"
"ENSMODG00000002246","CLDN2","ENSDNOG00000042673","CLDN2","ortholog_one2one","ENSOCUG00000012629","CLDN2","ortholog_one2one"
"ENSMODG00000002312","RBM41","ENSDNOG00000013865","RBM41","ortholog_one2one","ENSOCUG00000015937","RBM41","ortholog_one2one"
"ENSMODG00000002345","TBC1D8B","ENSDNOG00000001774","TBC1D8B","ortholog_one2one","ENSOCUG00000012340","TBC1D8B","ortholog_one2one"
"ENSMODG00000002362","RNF128","ENSDNOG00000001769","RNF128","ortholog_one2one","ENSOCUG00000012328","RNF128","ortholog_one2one"
"ENSMODG00000005206","ZC3H12B","ENSDNOG00000038439","ZC3H12B","ortholog_one2one","ENSOCUG00000006130","ZC3H12B","ortholog_one2one"
"ENSMODG00000005213","ZC4H2","ENSDNOG00000049237","ZC4H2","ortholog_one2one","ENSOCUG00000013393","ZC4H2","ortholog_one2one"
"ENSMODG00000011526","ARHGAP4","ENSDNOG00000048684","ARHGAP4","ortholog_one2one","ENSOCUG00000001107","ARHGAP4","ortholog_one2one"
"ENSMODG00000011547","NAA10","ENSDNOG00000030734","NAA10","ortholog_one2one","ENSOCUG00000001111","ARD1A","ortholog_one2one"
"ENSMODG00000011560","RENBP","ENSDNOG00000024828","RENBP","ortholog_one2one","ENSOCUG00000025840","RENBP","ortholog_one2one"
"ENSMODG00000011597","HCFC1","ENSDNOG00000047555","HCFC1","ortholog_one2one","ENSOCUG00000001113","HCFC1","ortholog_one2one"
"ENSMODG00000025357","TMEM187","ENSDNOG00000003232","TMEM187","ortholog_one2one","ENSOCUG00000001116","TMEM187","ortholog_one2one"
"ENSMODG00000011627","IRAK1","ENSDNOG00000014412","IRAK1","ortholog_one2one","ENSOCUG00000025860","IRAK1","ortholog_one2one"
"ENSMODG00000011643","MECP2","ENSDNOG00000013419","MECP2","ortholog_one2one","ENSOCUG00000013147","MECP2","ortholog_one2one"
"ENSMODG00000015003","GRIA3","ENSDNOG00000000650","GRIA3","ortholog_one2one","ENSOCUG00000000315","GRIA3","ortholog_one2one"
"ENSMODG00000014984","THOC2","ENSDNOG00000012487","THOC2","ortholog_one2one","ENSOCUG00000005996","THOC2","ortholog_one2one"
"ENSMODG00000014957","STAG2","ENSDNOG00000002558","STAG2","ortholog_one2one","ENSOCUG00000009879","STAG2","ortholog_one2one"
"ENSMODG00000014906","TENM1","ENSDNOG00000019009","TENM1","ortholog_one2one","ENSOCUG00000005013","TENM1","ortholog_one2one"
"ENSMODG00000014931","SH2D1A","ENSDNOG00000031319","SH2D1A","ortholog_one2one","ENSOCUG00000005012","SH2D1A","ortholog_one2one"
"ENSMODG00000007203","ASB12","ENSDNOG00000032375","ASB12","ortholog_one2one","ENSOCUG00000023698","ASB12","ortholog_one2one"
"ENSMODG00000020843","ARHGEF9","ENSDNOG00000004900","ARHGEF9","ortholog_one2one","ENSOCUG00000011267","ARHGEF9","ortholog_one2one"
"ENSMODG00000010165","LONRF3","ENSDNOG00000018405","LONRF3","ortholog_one2one","ENSOCUG00000012990","LONRF3","ortholog_one2one"
"ENSMODG00000010181","PGRMC1","ENSDNOG00000037345","PGRMC1","ortholog_one2one","ENSOCUG00000010280","PGRMC1","ortholog_one2one"
"ENSMODG00000029175","","ENSDNOG00000036743","","ortholog_one2one","ENSOCUG00000022039","AKAP17A","ortholog_one2one"
"ENSMODG00000010189","SLC25A43","ENSDNOG00000048139","SLC25A43","ortholog_one2one","ENSOCUG00000013248","SLC25A43","ortholog_one2one"
"ENSMODG00000010221","SEPT6","ENSDNOG00000030918","SEPT6","ortholog_one2one","ENSOCUG00000003928","SEPT6","ortholog_one2one"
"ENSMODG00000010232","UPF3B","ENSDNOG00000008665","UPF3B","ortholog_one2one","ENSOCUG00000010213","UPF3B","ortholog_one2one"
"ENSMODG00000025434","ZBTB33","ENSDNOG00000039247","ZBTB33","ortholog_one2one","ENSOCUG00000004331","ZBTB33","ortholog_one2one"
"ENSMODG00000010283","TMEM255A","ENSDNOG00000012577","TMEM255A","ortholog_one2one","ENSOCUG00000004334","TMEM255A","ortholog_one2one"
"ENSMODG00000010294","ATP1B4","ENSDNOG00000039409","ATP1B4","ortholog_one2one","ENSOCUG00000003951","ATP1B4","ortholog_one2one"
"ENSMODG00000010311","LAMP2","ENSDNOG00000023895","LAMP2","ortholog_one2one","ENSOCUG00000024954","LAMP2","ortholog_one2one"
"ENSMODG00000010345","CUL4B","ENSDNOG00000012663","CUL4B","ortholog_one2one","ENSOCUG00000015633","CUL4B","ortholog_one2one"
"ENSMODG00000013187","SMARCA1","ENSDNOG00000004315","SMARCA1","ortholog_one2one","ENSOCUG00000001047","SMARCA1","ortholog_one2one"
"ENSMODG00000013204","APLN","ENSDNOG00000040294","APLN","ortholog_one2one","ENSOCUG00000022649","APLN","ortholog_one2one"
"ENSMODG00000013216","XPNPEP2","ENSDNOG00000011646","XPNPEP2","ortholog_one2one","ENSOCUG00000010636","XPNPEP2","ortholog_one2one"
"ENSMODG00000013221","SASH3","ENSDNOG00000041280","SASH3","ortholog_one2one","ENSOCUG00000026966","SASH3","ortholog_one2one"
"ENSMODG00000013228","ZDHHC9","ENSDNOG00000011671","ZDHHC9","ortholog_one2one","ENSOCUG00000001779","ZDHHC9","ortholog_one2one"
"ENSMODG00000013238","","ENSDNOG00000002180","","ortholog_one2one","ENSOCUG00000016185","","ortholog_one2one"
"ENSMODG00000013250","BCORL1","ENSDNOG00000039387","BCORL1","ortholog_one2one","ENSOCUG00000002913","BCORL1","ortholog_one2one"
"ENSMODG00000013265","AIFM1","ENSDNOG00000018718","AIFM1","ortholog_one2one","ENSOCUG00000002920","AIFM1","ortholog_one2one"
"ENSMODG00000013269","RAB33A","ENSDNOG00000048455","RAB33A","ortholog_one2one","ENSOCUG00000002932","RAB33A","ortholog_one2one"
"ENSMODG00000015416","ENOX2","ENSDNOG00000034376","ENOX2","ortholog_one2one","ENSOCUG00000012625","ENOX2","ortholog_one2one"
"ENSMODG00000015336","OR13H1","ENSDNOG00000013318","OR13H1","ortholog_one2one","ENSOCUG00000011316","OR13H1","ortholog_one2one"
"ENSMODG00000015323","","ENSDNOG00000015458","","ortholog_one2one","ENSOCUG00000007358","","ortholog_one2one"
"ENSMODG00000015320","FRMD7","ENSDNOG00000015467","FRMD7","ortholog_one2one","ENSOCUG00000025878","FRMD7","ortholog_one2one"
"ENSMODG00000015308","RAP2C","ENSDNOG00000042390","RAP2C","ortholog_one2one","ENSOCUG00000010321","RAP2C","ortholog_one2one"
"ENSMODG00000015304","MBNL3","ENSDNOG00000016518","MBNL3","ortholog_one2one","ENSOCUG00000014979","MBNL3","ortholog_one2one"
"ENSMODG00000015295","GPC4","ENSDNOG00000034816","GPC4","ortholog_one2one","ENSOCUG00000015005","GPC4","ortholog_one2one"
"ENSMODG00000025298","CCDC160","ENSDNOG00000037184","CCDC160","ortholog_one2one","ENSOCUG00000016626","CCDC160","ortholog_one2one"
"ENSMODG00000015259","PHF6","ENSDNOG00000038199","PHF6","ortholog_one2one","ENSOCUG00000007022","PHF6","ortholog_one2one"
"ENSMODG00000005550","FMR1","ENSDNOG00000019486","FMR1","ortholog_one2one","ENSOCUG00000014621","FMR1","ortholog_one2one"
"ENSMODG00000005570","AFF2","ENSDNOG00000013755","AFF2","ortholog_one2one","ENSOCUG00000013873","AFF2","ortholog_one2one"
"ENSMODG00000005620","","ENSDNOG00000034646","","ortholog_one2one","ENSOCUG00000006623","","ortholog_one2one"
"ENSMODG00000005627","MAMLD1","ENSDNOG00000034921","MAMLD1","ortholog_one2one","ENSOCUG00000016676","MAMLD1","ortholog_one2one"
"ENSMODG00000005671","MTM1","ENSDNOG00000032808","MTM1","ortholog_one2one","ENSOCUG00000016688","MTM1","ortholog_one2one"
"ENSMODG00000005714","MTMR1","ENSDNOG00000013433","MTMR1","ortholog_one2one","ENSOCUG00000016698","MTMR1","ortholog_one2one"
"ENSMODG00000028278","CD99L2","ENSDNOG00000038948","CD99L2","ortholog_one2one","ENSOCUG00000016710","CD99L2","ortholog_one2one"
"ENSMODG00000005747","GPR50","ENSDNOG00000016520","GPR50","ortholog_one2one","ENSOCUG00000005566","GPR50","ortholog_one2one"
"ENSMODG00000027984","VMA21","ENSDNOG00000008426","VMA21","ortholog_one2one","ENSOCUG00000015201","VMA21","ortholog_one2one"
"ENSMODG00000005819","CNGA2","ENSDNOG00000042009","CNGA2","ortholog_one2one","ENSOCUG00000009436","CNGA2","ortholog_one2one"
"ENSMODG00000005899","GABRA3","ENSDNOG00000043282","GABRA3","ortholog_one2one","ENSOCUG00000008480","GABRA3","ortholog_one2one"
"ENSMODG00000005941","NSDHL","ENSDNOG00000030722","NSDHL","ortholog_one2one","ENSOCUG00000007899","NSDHL","ortholog_one2one"
"ENSMODG00000006021","TMED2","ENSDNOG00000038512","TMED2","ortholog_one2one","ENSOCUG00000003453","TMED2","ortholog_one2one"
"ENSMODG00000014095","GPR112","ENSDNOG00000041437","GPR112","ortholog_one2one","ENSOCUG00000006037","GPR112","ortholog_one2one"
"ENSMODG00000014090","BRS3","ENSDNOG00000002253","BRS3","ortholog_one2one","ENSOCUG00000022548","BRS3","ortholog_one2one"
"ENSMODG00000014085","VGLL1","ENSDNOG00000018136","VGLL1","ortholog_one2one","ENSOCUG00000028060","VGLL1","ortholog_one2one"
"ENSMODG00000014084","CD40LG","ENSDNOG00000038849","CD40LG","ortholog_one2one","ENSOCUG00000003911","CD40LG","ortholog_one2one"
"ENSMODG00000014073","ARHGEF6","ENSDNOG00000009674","ARHGEF6","ortholog_one2one","ENSOCUG00000000255","ARHGEF6","ortholog_one2one"
"ENSMODG00000014030","GPR101","ENSDNOG00000004851","GPR101","ortholog_one2one","ENSOCUG00000027130","GPR101","ortholog_one2one"
"ENSMODG00000014029","ZIC3","ENSDNOG00000006192","ZIC3","ortholog_one2one","ENSOCUG00000009358","ZIC3","ortholog_one2one"
"ENSMODG00000014019","FGF13","ENSDNOG00000044091","FGF13","ortholog_one2one","ENSOCUG00000012713","FGF13","ortholog_one2one"
"ENSMODG00000014012","F9","ENSDNOG00000047660","F9","ortholog_one2one","ENSOCUG00000005240","F9","ortholog_one2one"
"ENSMODG00000014008","MCF2","ENSDNOG00000001956","MCF2","ortholog_one2one","ENSOCUG00000027534","MCF2","ortholog_one2one"
"ENSMODG00000013991","ATP11C","ENSDNOG00000016897","ATP11C","ortholog_one2one","ENSOCUG00000013087","ATP11C","ortholog_one2one"
"ENSMODG00000013917","SLITRK4","ENSDNOG00000014606","SLITRK4","ortholog_one2one","ENSOCUG00000009653","SLITRK4","ortholog_one2one"
"ENSMODG00000022860","GPR141","ENSDNOG00000047777","GPR141","ortholog_one2one","ENSOCUG00000021957","GPR141","ortholog_one2one"
"ENSMODG00000002228","STK17A","ENSDNOG00000010747","STK17A","ortholog_one2one","ENSOCUG00000015953","STK17A","ortholog_one2one"
"ENSMODG00000014279","POU3F4","ENSDNOG00000004912","POU3F4","ortholog_one2one","ENSOCUG00000010927","POU3F4","ortholog_one2one"
"ENSMODG00000002297","HECW1","ENSDNOG00000010917","HECW1","ortholog_one2one","ENSOCUG00000007994","HECW1","ortholog_one2one"
"ENSMODG00000022858","C7orf25","ENSDNOG00000012561","C7orf25","ortholog_one2one","ENSOCUG00000012089","C7orf25","ortholog_one2one"
"ENSMODG00000014302","RPS6KA6","ENSDNOG00000016255","RPS6KA6","ortholog_one2one","ENSOCUG00000006428","RPS6KA6","ortholog_one2one"
"ENSMODG00000014307","HDX","ENSDNOG00000032839","HDX","ortholog_one2one","ENSOCUG00000000903","HDX","ortholog_one2one"
"ENSMODG00000002714","GLI3","ENSDNOG00000049286","GLI3","ortholog_one2one","ENSOCUG00000006563","GLI3","ortholog_one2one"
"ENSMODG00000002721","INHBA","ENSDNOG00000045281","INHBA","ortholog_one2one","ENSOCUG00000000621","INHBA","ortholog_one2one"
"ENSMODG00000014330","APOOL","ENSDNOG00000045102","APOOL","ortholog_one2one","ENSOCUG00000003369","APOOL","ortholog_one2one"
"ENSMODG00000014346","ZNF711","ENSDNOG00000031961","ZNF711","ortholog_one2one","ENSOCUG00000023926","ZNF711","ortholog_one2one"
"ENSMODG00000014360","POF1B","ENSDNOG00000016063","POF1B","ortholog_one2one","ENSOCUG00000008812","POF1B","ortholog_one2one"
"ENSMODG00000027579","UPRT","ENSDNOG00000031281","UPRT","ortholog_one2one","ENSOCUG00000005388","UPRT","ortholog_one2one"
"ENSMODG00000003871","ZDHHC15","ENSDNOG00000002926","ZDHHC15","ortholog_one2one","ENSOCUG00000011747","ZDHHC15","ortholog_one2one"
"ENSMODG00000003900","FGF16","ENSDNOG00000036657","FGF16","ortholog_one2one","ENSOCUG00000007576","FGF16","ortholog_one2one"
"ENSMODG00000004010","ATP7A","ENSDNOG00000013750","ATP7A","ortholog_one2one","ENSOCUG00000014160","ATP7A","ortholog_one2one"
"ENSMODG00000028942","","ENSDNOG00000044194","","ortholog_one2one","ENSOCUG00000023649","","ortholog_one2one"
"ENSMODG00000004207","CYSLTR1","ENSDNOG00000014760","CYSLTR1","ortholog_one2one","ENSOCUG00000016192","CYSLTR1","ortholog_one2one"
"ENSMODG00000022865","P2RY10","ENSDNOG00000018123","P2RY10","ortholog_one2one","ENSOCUG00000014507","P2RY10","ortholog_one2one"
"ENSMODG00000022863","GPR174","ENSDNOG00000031576","GPR174","ortholog_one2one","ENSOCUG00000005049","GPR174","ortholog_one2one"
"ENSMODG00000004308","BRWD3","ENSDNOG00000009169","BRWD3","ortholog_one2one","ENSOCUG00000005170","BRWD3","ortholog_one2one"
"ENSMODG00000020799","FAM73A","ENSDNOG00000044717","FAM73A","ortholog_one2one","ENSOCUG00000017383","FAM73A","ortholog_one2one"
"ENSMODG00000004322","SH3BGRL","ENSDNOG00000044282","SH3BGRL","ortholog_one2one","ENSOCUG00000014035","SH3BGRL","ortholog_one2one"
"ENSMODG00000020802","NEXN","ENSDNOG00000013409","NEXN","ortholog_one2one","ENSOCUG00000024272","NEXN","ortholog_one2one"
"ENSMODG00000020806","DNAJB4","ENSDNOG00000040813","DNAJB4","ortholog_one2one","ENSOCUG00000012679","DNAJB4","ortholog_one2one"
"ENSMODG00000020801","GIPC2","ENSDNOG00000010996","GIPC2","ortholog_one2one","ENSOCUG00000016760","GIPC2","ortholog_one2one"
"ENSMODG00000025187","SPACA4","ENSDNOG00000025962","SPACA4","ortholog_one2one","ENSOCUG00000013902","SPACA4","ortholog_one2one"
"ENSMODG00000008987","TNMD","ENSDNOG00000018993","TNMD","ortholog_one2one","ENSOCUG00000011179","TNMD","ortholog_one2one"
"ENSMODG00000009008","PCDH19","ENSDNOG00000015084","PCDH19","ortholog_one2one","ENSOCUG00000015865","PCDH19","ortholog_one2one"
"ENSMODG00000011942","ABCB7","ENSDNOG00000025210","ABCB7","ortholog_one2one","ENSOCUG00000016847","ABCB7","ortholog_one2one"
"ENSMODG00000004365","SLC6A14","ENSDNOG00000015511","SLC6A14","ortholog_one2one","ENSOCUG00000015028","SLC6A14","ortholog_one2one"
"ENSMODG00000011951","KIAA2022","ENSDNOG00000007442","KIAA2022","ortholog_one2one","ENSOCUG00000008722","KIAA2022","ortholog_one2one"
"ENSMODG00000004940","PLS3","ENSDNOG00000033040","PLS3","ortholog_one2one","ENSOCUG00000006041","PLS3","ortholog_one2one"
"ENSMODG00000011962","SLC16A2","ENSDNOG00000019245","SLC16A2","ortholog_one2one","ENSOCUG00000001197","SLC16A2","ortholog_one2one"
"ENSMODG00000005026","LRCH2","ENSDNOG00000018265","LRCH2","ortholog_one2one","ENSOCUG00000016267","LRCH2","ortholog_one2one"
"ENSMODG00000005037","IL13RA2","ENSDNOG00000008450","IL13RA2","ortholog_one2one","ENSOCUG00000014747","IL13RA2","ortholog_one2one"
"ENSMODG00000000324","C10orf54","ENSDNOG00000015130","C10orf54","ortholog_one2one","ENSOCUG00000016252","C10orf54","ortholog_one2one"
"ENSMODG00000000377","CHST3","ENSDNOG00000013465","CHST3","ortholog_one2one","ENSOCUG00000023270","C6ST","ortholog_one2one"
"ENSMODG00000021324","PPP6R3","ENSDNOG00000015259","PPP6R3","ortholog_one2one","ENSOCUG00000006068","PPP6R3","ortholog_one2one"
"ENSMODG00000005098","AMOT","ENSDNOG00000009352","AMOT","ortholog_one2one","ENSOCUG00000004881","AMOT","ortholog_one2one"
"ENSMODG00000005109","LHFPL1","ENSDNOG00000014293","LHFPL1","ortholog_one2one","ENSOCUG00000013710","LHFPL1","ortholog_one2one"
"ENSMODG00000005159","ALG13","ENSDNOG00000005613","ALG13","ortholog_one2one","ENSOCUG00000009237","ALG13","ortholog_one2one"
"ENSMODG00000027757","C11orf24","ENSDNOG00000048910","C11orf24","ortholog_one2one","ENSOCUG00000027517","C11orf24","ortholog_one2one"
"ENSMODG00000021327","SUV420H1","ENSDNOG00000039986","SUV420H1","ortholog_one2one","ENSOCUG00000002778","SUV420H1","ortholog_one2one"
"ENSMODG00000005175","","ENSDNOG00000040599","","ortholog_one2one","ENSOCUG00000000232","","ortholog_one2one"
"ENSMODG00000021329","CHKA","ENSDNOG00000023787","CHKA","ortholog_one2one","ENSOCUG00000023702","CHKA","ortholog_one2one"
"ENSMODG00000005199","DCX","ENSDNOG00000009212","DCX","ortholog_one2one","ENSOCUG00000007042","DCX","ortholog_one2one"
"ENSMODG00000005238","CAPN6","ENSDNOG00000045170","CAPN6","ortholog_one2one","ENSOCUG00000005540","CAPN6","ortholog_one2one"
"ENSMODG00000005255","PAK3","ENSDNOG00000017496","PAK3","ortholog_one2one","ENSOCUG00000007033","PAK3","ortholog_one2one"
"ENSMODG00000021332","","ENSDNOG00000038644","","ortholog_one2one","ENSOCUG00000013612","","ortholog_one2one"
"ENSMODG00000005320","ALAS2","ENSDNOG00000015312","ALAS2","ortholog_one2one","ENSOCUG00000013603","ALAS2","ortholog_one2one"
"ENSMODG00000005341","APEX2","ENSDNOG00000038901","APEX2","ortholog_one2one","ENSOCUG00000000570","APEX2","ortholog_one2one"
"ENSMODG00000004615","OGT","ENSDNOG00000002746","OGT","ortholog_one2one","ENSOCUG00000016965","OGT","ortholog_one2one"
"ENSMODG00000029332","ZNF10","ENSDNOG00000013886","ZNF10","ortholog_one2one","ENSOCUG00000029554","ZNF10","ortholog_one2one"
"ENSMODG00000004570","","ENSDNOG00000010671","","ortholog_one2one","ENSOCUG00000015656","","ortholog_one2one"
"ENSMODG00000025427","","ENSDNOG00000046614","","ortholog_one2one","ENSOCUG00000021546","","ortholog_one2one"
"ENSMODG00000016811","ROBO2","ENSDNOG00000005583","ROBO2","ortholog_one2one","ENSOCUG00000004278","ROBO2","ortholog_one2one"
"ENSMODG00000016876","GBE1","ENSDNOG00000049366","GBE1","ortholog_one2one","ENSOCUG00000005912","GBE1","ortholog_one2one"
"ENSMODG00000019804","APOD","ENSDNOG00000037599","APOD","ortholog_one2one","ENSOCUG00000023599","APOD","ortholog_one2one"
"ENSMODG00000019807","ACAP2","ENSDNOG00000037427","ACAP2","ortholog_one2one","ENSOCUG00000001798","ACAP2","ortholog_one2one"
"ENSMODG00000004387","GJB1","ENSDNOG00000001244","GJB1","ortholog_one2one","ENSOCUG00000004588","GJB1","ortholog_one2one"
"ENSMODG00000019826","FAM43A","ENSDNOG00000006236","FAM43A","ortholog_one2one","ENSOCUG00000004823","FAM43A","ortholog_one2one"
"ENSMODG00000019828","LSG1","ENSDNOG00000006224","LSG1","ortholog_one2one","ENSOCUG00000004817","LSG1","ortholog_one2one"
"ENSMODG00000025424","","ENSDNOG00000040550","","ortholog_one2one","ENSOCUG00000013968","","ortholog_one2one"
"ENSMODG00000019830","ATP13A3","ENSDNOG00000001173","ATP13A3","ortholog_one2one","ENSOCUG00000016532","ATP13A3","ortholog_one2one"
"ENSMODG00000016922","CADM2","ENSDNOG00000004633","CADM2","ortholog_one2one","ENSOCUG00000001739","CADM2","ortholog_one2one"
