"mdom_ensembl_gid","mdom_feature_length"
"ENSMODG00000000109",3041.5
"ENSMODG00000000111",6831
"ENSMODG00000000113",4243
"ENSMODG00000000115",3516.5
"ENSMODG00000000116",6131
"ENSMODG00000000117",6968
"ENSMODG00000000118",3749
"ENSMODG00000000120",927
"ENSMODG00000000121",2039
"ENSMODG00000000122",1674
"ENSMODG00000000123",1902
"ENSMODG00000000124",4017
"ENSMODG00000000125",2146
"ENSMODG00000000126",1383
"ENSMODG00000000127",1076
"ENSMODG00000000129",5774
"ENSMODG00000000130",1510
"ENSMODG00000000131",1492
"ENSMODG00000000132",5576
"ENSMODG00000000133",465
"ENSMODG00000000134",6594
"ENSMODG00000000135",2788
"ENSMODG00000000137",1720
"ENSMODG00000000138",1220
"ENSMODG00000000139",2260
"ENSMODG00000000141",1928
"ENSMODG00000000142",3551
"ENSMODG00000000144",5242
"ENSMODG00000000145",1542
"ENSMODG00000000147",690
"ENSMODG00000000148",2726
"ENSMODG00000000149",5434
"ENSMODG00000000151",2080
"ENSMODG00000000152",1771
"ENSMODG00000000154",9053
"ENSMODG00000000155",5925
"ENSMODG00000000157",1647
"ENSMODG00000000158",2598
"ENSMODG00000000160",1833
"ENSMODG00000000161",2530
"ENSMODG00000000162",2211
"ENSMODG00000000163",1533
"ENSMODG00000000164",5175
"ENSMODG00000000165",5460
"ENSMODG00000000167",783
"ENSMODG00000000168",399
"ENSMODG00000000169",751
"ENSMODG00000000170",6129
"ENSMODG00000000172",933
"ENSMODG00000000173",5511
"ENSMODG00000000174",654
"ENSMODG00000000175",2838
"ENSMODG00000000176",3119
"ENSMODG00000000178",246
"ENSMODG00000000179",723
"ENSMODG00000000180",3358
"ENSMODG00000000181",1058
"ENSMODG00000000182",2422
"ENSMODG00000000183",1693
"ENSMODG00000000184",6496
"ENSMODG00000000185",3117
"ENSMODG00000000187",5871
"ENSMODG00000000188",3443
"ENSMODG00000000189",2033
"ENSMODG00000000190",2228
"ENSMODG00000000192",1098
"ENSMODG00000000193",9071
"ENSMODG00000000195",3603
"ENSMODG00000000196",216
"ENSMODG00000000197",1057
"ENSMODG00000000198",3798
"ENSMODG00000000199",750
"ENSMODG00000000200",5761
"ENSMODG00000000203",6488
"ENSMODG00000000204",4565
"ENSMODG00000000206",1236.5
"ENSMODG00000000207",2031
"ENSMODG00000000208",4559
"ENSMODG00000000209",6029
"ENSMODG00000000210",1170
"ENSMODG00000000211",3153
"ENSMODG00000000212",2985
"ENSMODG00000000213",4655
"ENSMODG00000000214",4385
"ENSMODG00000000215",850
"ENSMODG00000000216",872
"ENSMODG00000000217",2975
"ENSMODG00000000218",2441
"ENSMODG00000000219",3652
"ENSMODG00000000220",4653
"ENSMODG00000000221",2324
"ENSMODG00000000222",1766
"ENSMODG00000000223",1966
"ENSMODG00000000226",5612
"ENSMODG00000000227",4344
"ENSMODG00000000228",246
"ENSMODG00000000229",4267
"ENSMODG00000000231",4112
"ENSMODG00000000232",10510
"ENSMODG00000000233",15263
"ENSMODG00000000234",396
"ENSMODG00000000235",3720
"ENSMODG00000000236",4199
"ENSMODG00000000237",690
"ENSMODG00000000241",818
"ENSMODG00000000242",2185
"ENSMODG00000000243",2174
"ENSMODG00000000244",1777
"ENSMODG00000000245",6802
"ENSMODG00000000246",6582
"ENSMODG00000000247",1762
"ENSMODG00000000248",699
"ENSMODG00000000249",1407
"ENSMODG00000000250",7505
"ENSMODG00000000252",3626
"ENSMODG00000000253",562
"ENSMODG00000000254",3365
"ENSMODG00000000255",5957.5
"ENSMODG00000000256",2775
"ENSMODG00000000260",2060
"ENSMODG00000000261",4143
"ENSMODG00000000264",2106
"ENSMODG00000000265",504
"ENSMODG00000000267",702
"ENSMODG00000000268",1877
"ENSMODG00000000271",870
"ENSMODG00000000272",2771
"ENSMODG00000000273",3408
"ENSMODG00000000274",2103
"ENSMODG00000000275",422
"ENSMODG00000000278",4729
"ENSMODG00000000279",1888
"ENSMODG00000000280",2084
"ENSMODG00000000281",2907
"ENSMODG00000000282",333
"ENSMODG00000000283",1506
"ENSMODG00000000285",3158
"ENSMODG00000000288",1659
"ENSMODG00000000289",2546
"ENSMODG00000000290",3802
"ENSMODG00000000291",5872
"ENSMODG00000000292",2556
"ENSMODG00000000294",8278
"ENSMODG00000000298",6454
"ENSMODG00000000299",3321
"ENSMODG00000000300",1747
"ENSMODG00000000302",1710
"ENSMODG00000000303",797
"ENSMODG00000000304",1089
"ENSMODG00000000305",3838
"ENSMODG00000000306",1383
"ENSMODG00000000307",747
"ENSMODG00000000308",6847
"ENSMODG00000000309",3153
"ENSMODG00000000311",8050
"ENSMODG00000000312",4516
"ENSMODG00000000314",2515
"ENSMODG00000000315",2492
"ENSMODG00000000316",2828
"ENSMODG00000000317",3343
"ENSMODG00000000318",10135
"ENSMODG00000000319",7439
"ENSMODG00000000320",1098
"ENSMODG00000000321",1275
"ENSMODG00000000322",903
"ENSMODG00000000324",2685
"ENSMODG00000000325",5441
"ENSMODG00000000326",2570
"ENSMODG00000000327",2724
"ENSMODG00000000328",5088
"ENSMODG00000000329",6579
"ENSMODG00000000330",1794
"ENSMODG00000000333",543
"ENSMODG00000000334",1515
"ENSMODG00000000336",2151
"ENSMODG00000000337",3253
"ENSMODG00000000338",780
"ENSMODG00000000339",2808
"ENSMODG00000000340",2190
"ENSMODG00000000342",345
"ENSMODG00000000343",1937
"ENSMODG00000000344",3846
"ENSMODG00000000345",2594
"ENSMODG00000000346",3465
"ENSMODG00000000347",3413
"ENSMODG00000000348",4955
"ENSMODG00000000349",3000
"ENSMODG00000000350",1317
"ENSMODG00000000351",4168
"ENSMODG00000000352",1524
"ENSMODG00000000353",861
"ENSMODG00000000354",7084
"ENSMODG00000000355",3633
"ENSMODG00000000356",1615
"ENSMODG00000000357",5324
"ENSMODG00000000358",1449
"ENSMODG00000000359",9236
"ENSMODG00000000361",357
"ENSMODG00000000363",3261
"ENSMODG00000000364",1365
"ENSMODG00000000365",1074
"ENSMODG00000000367",1226
"ENSMODG00000000369",3698
"ENSMODG00000000370",4681
"ENSMODG00000000373",609
"ENSMODG00000000374",3529.5
"ENSMODG00000000375",3175
"ENSMODG00000000376",1584
"ENSMODG00000000377",4376
"ENSMODG00000000378",2737
"ENSMODG00000000380",1848
"ENSMODG00000000382",1260
"ENSMODG00000000383",2474
"ENSMODG00000000384",957
"ENSMODG00000000386",2291
"ENSMODG00000000387",5774
"ENSMODG00000000388",2078
"ENSMODG00000000390",1775
"ENSMODG00000000391",3153
"ENSMODG00000000392",861
"ENSMODG00000000393",255
"ENSMODG00000000394",930
"ENSMODG00000000395",1041
"ENSMODG00000000396",5499
"ENSMODG00000000397",555
"ENSMODG00000000398",705
"ENSMODG00000000399",1649
"ENSMODG00000000400",3152
"ENSMODG00000000401",4368
"ENSMODG00000000403",915
"ENSMODG00000000405",4483
"ENSMODG00000000406",5006
"ENSMODG00000000407",1275
"ENSMODG00000000408",4865
"ENSMODG00000000409",5189
"ENSMODG00000000412",903
"ENSMODG00000000414",3136
"ENSMODG00000000415",714
"ENSMODG00000000416",5332
"ENSMODG00000000417",9360
"ENSMODG00000000418",4910
"ENSMODG00000000420",4575
"ENSMODG00000000421",2102.5
"ENSMODG00000000422",804
"ENSMODG00000000423",1787
"ENSMODG00000000424",1902
"ENSMODG00000000427",3501
"ENSMODG00000000429",3582
"ENSMODG00000000430",2505
"ENSMODG00000000432",2734
"ENSMODG00000000433",2175
"ENSMODG00000000434",2613
"ENSMODG00000000436",3292
"ENSMODG00000000438",2889
"ENSMODG00000000439",767
"ENSMODG00000000441",6074
"ENSMODG00000000442",2289
"ENSMODG00000000443",8430
"ENSMODG00000000444",6801
"ENSMODG00000000446",2953
"ENSMODG00000000447",2547
"ENSMODG00000000448",2731
"ENSMODG00000000449",2950
"ENSMODG00000000450",798
"ENSMODG00000000451",3198
"ENSMODG00000000452",1643
"ENSMODG00000000453",2712
"ENSMODG00000000454",4306
"ENSMODG00000000455",1485
"ENSMODG00000000456",3104
"ENSMODG00000000457",1084
"ENSMODG00000000458",1433
"ENSMODG00000000459",5707
"ENSMODG00000000460",2572
"ENSMODG00000000462",451
"ENSMODG00000000463",3106
"ENSMODG00000000464",2480.5
"ENSMODG00000000465",2341
"ENSMODG00000000466",1161
"ENSMODG00000000469",3911
"ENSMODG00000000470",741
"ENSMODG00000000471",6535
"ENSMODG00000000472",699
"ENSMODG00000000474",717
"ENSMODG00000000475",4335
"ENSMODG00000000476",2885
"ENSMODG00000000479",3171
"ENSMODG00000000481",2001
"ENSMODG00000000482",1062
"ENSMODG00000000483",807
"ENSMODG00000000485",4911
"ENSMODG00000000486",3429
"ENSMODG00000000487",7127
"ENSMODG00000000488",3482
"ENSMODG00000000489",2055
"ENSMODG00000000490",2383
"ENSMODG00000000491",750
"ENSMODG00000000492",619
"ENSMODG00000000493",1791
"ENSMODG00000000494",1299
"ENSMODG00000000495",4636
"ENSMODG00000000496",1104
"ENSMODG00000000497",5020
"ENSMODG00000000498",3483
"ENSMODG00000000499",4491
"ENSMODG00000000500",3672
"ENSMODG00000000501",2424
"ENSMODG00000000502",1097.5
"ENSMODG00000000503",2042
"ENSMODG00000000504",3862
"ENSMODG00000000505",1449
"ENSMODG00000000506",1496
"ENSMODG00000000507",1014
"ENSMODG00000000508",3539
"ENSMODG00000000509",3674
"ENSMODG00000000510",3324
"ENSMODG00000000511",4940
"ENSMODG00000000512",672
"ENSMODG00000000513",2710
"ENSMODG00000000514",4469
"ENSMODG00000000515",4509
"ENSMODG00000000516",5865
"ENSMODG00000000517",2034
"ENSMODG00000000518",813
"ENSMODG00000000520",8324
"ENSMODG00000000521",3362
"ENSMODG00000000522",3603
"ENSMODG00000000524",2118
"ENSMODG00000000525",3813
"ENSMODG00000000526",4041
"ENSMODG00000000527",2370
"ENSMODG00000000528",5106
"ENSMODG00000000529",3279
"ENSMODG00000000531",1593
"ENSMODG00000000533",2619
"ENSMODG00000000534",3430
"ENSMODG00000000535",4462
"ENSMODG00000000536",4637
"ENSMODG00000000537",4878
"ENSMODG00000000538",1061
"ENSMODG00000000539",2680
"ENSMODG00000000541",1054.5
"ENSMODG00000000542",1406
"ENSMODG00000000543",1404
"ENSMODG00000000544",6527.5
"ENSMODG00000000545",2309
"ENSMODG00000000546",2753
"ENSMODG00000000547",1668
"ENSMODG00000000549",6759
"ENSMODG00000000550",4150
"ENSMODG00000000552",2347
"ENSMODG00000000553",4863
"ENSMODG00000000554",4432
"ENSMODG00000000555",6724
"ENSMODG00000000556",7184
"ENSMODG00000000557",1816
"ENSMODG00000000558",4236
"ENSMODG00000000559",1089
"ENSMODG00000000560",5162
"ENSMODG00000000561",1809
"ENSMODG00000000562",1455
"ENSMODG00000000563",349
"ENSMODG00000000564",2631
"ENSMODG00000000565",1512
"ENSMODG00000000566",1493
"ENSMODG00000000567",1211
"ENSMODG00000000568",3724
"ENSMODG00000000569",2258
"ENSMODG00000000570",1682
"ENSMODG00000000571",6380
"ENSMODG00000000572",580
"ENSMODG00000000573",3970
"ENSMODG00000000574",1811
"ENSMODG00000000575",5349
"ENSMODG00000000576",4606
"ENSMODG00000000577",5533
"ENSMODG00000000578",3788
"ENSMODG00000000579",2004
"ENSMODG00000000580",4817
"ENSMODG00000000581",1211
"ENSMODG00000000582",7001
"ENSMODG00000000583",2650
"ENSMODG00000000587",879
"ENSMODG00000000588",515
"ENSMODG00000000589",1623
"ENSMODG00000000592",5878
"ENSMODG00000000596",4001
"ENSMODG00000000597",1322
"ENSMODG00000000598",3730
"ENSMODG00000000599",3690
"ENSMODG00000000601",783
"ENSMODG00000000602",411
"ENSMODG00000000603",1600
"ENSMODG00000000604",2641
"ENSMODG00000000607",627
"ENSMODG00000000608",3325
"ENSMODG00000000609",1686
"ENSMODG00000000610",594
"ENSMODG00000000611",1412
"ENSMODG00000000612",2899
"ENSMODG00000000614",5109
"ENSMODG00000000615",2070
"ENSMODG00000000617",1851
"ENSMODG00000000618",4888
"ENSMODG00000000619",9265
"ENSMODG00000000621",3635
"ENSMODG00000000623",3299
"ENSMODG00000000624",2007
"ENSMODG00000000625",2881
"ENSMODG00000000626",6532
"ENSMODG00000000627",3345.5
"ENSMODG00000000628",3299
"ENSMODG00000000629",4673
"ENSMODG00000000630",1845
"ENSMODG00000000631",582
"ENSMODG00000000633",7974
"ENSMODG00000000635",1466
"ENSMODG00000000636",3122
"ENSMODG00000000637",4043
"ENSMODG00000000638",6449
"ENSMODG00000000639",1956
"ENSMODG00000000640",1686
"ENSMODG00000000641",1072
"ENSMODG00000000644",1205
"ENSMODG00000000645",957
"ENSMODG00000000646",4080
"ENSMODG00000000647",2228
"ENSMODG00000000648",4062
"ENSMODG00000000649",8390
"ENSMODG00000000650",4932
"ENSMODG00000000651",832
"ENSMODG00000000652",2393
"ENSMODG00000000653",1573
"ENSMODG00000000655",6880
"ENSMODG00000000657",772
"ENSMODG00000000658",5160
"ENSMODG00000000660",3481
"ENSMODG00000000661",3583
"ENSMODG00000000662",7803
"ENSMODG00000000663",3318
"ENSMODG00000000664",711
"ENSMODG00000000665",3832
"ENSMODG00000000666",2618
"ENSMODG00000000667",3142
"ENSMODG00000000669",1443
"ENSMODG00000000670",3642
"ENSMODG00000000671",886
"ENSMODG00000000672",1264
"ENSMODG00000000675",4716
"ENSMODG00000000676",3381
"ENSMODG00000000677",5584
"ENSMODG00000000678",1487
"ENSMODG00000000679",5612
"ENSMODG00000000680",3464
"ENSMODG00000000681",744
"ENSMODG00000000682",15693
"ENSMODG00000000683",7848
"ENSMODG00000000684",6403
"ENSMODG00000000685",396
"ENSMODG00000000686",2522
"ENSMODG00000000687",3918
"ENSMODG00000000689",1626
"ENSMODG00000000690",5755
"ENSMODG00000000691",2869
"ENSMODG00000000692",1419
"ENSMODG00000000693",3248
"ENSMODG00000000694",261
"ENSMODG00000000696",2350
"ENSMODG00000000697",339
"ENSMODG00000000699",4856
"ENSMODG00000000700",3399
"ENSMODG00000000701",931
"ENSMODG00000000702",1464
"ENSMODG00000000704",2524
"ENSMODG00000000705",2049
"ENSMODG00000000706",2208
"ENSMODG00000000707",5257
"ENSMODG00000000708",945
"ENSMODG00000000709",1814
"ENSMODG00000000710",2389
"ENSMODG00000000712",3186
"ENSMODG00000000713",8582
"ENSMODG00000000714",15089
"ENSMODG00000000715",3689
"ENSMODG00000000716",885
"ENSMODG00000000717",2593
"ENSMODG00000000718",6093
"ENSMODG00000000719",2367
"ENSMODG00000000720",10040
"ENSMODG00000000721",3538
"ENSMODG00000000723",5396
"ENSMODG00000000724",1075
"ENSMODG00000000725",1037
"ENSMODG00000000726",660
"ENSMODG00000000727",2130
"ENSMODG00000000728",2380
"ENSMODG00000000730",2833
"ENSMODG00000000731",8566
"ENSMODG00000000734",1786
"ENSMODG00000000735",2040
"ENSMODG00000000736",7034
"ENSMODG00000000740",5239
"ENSMODG00000000742",7075
"ENSMODG00000000744",7130
"ENSMODG00000000745",846
"ENSMODG00000000746",4955
"ENSMODG00000000747",594
"ENSMODG00000000748",3816
"ENSMODG00000000750",2574
"ENSMODG00000000751",840
"ENSMODG00000000753",999
"ENSMODG00000000754",4030
"ENSMODG00000000755",4704
"ENSMODG00000000756",1642
"ENSMODG00000000757",1803
"ENSMODG00000000761",873
"ENSMODG00000000762",1920
"ENSMODG00000000764",1672
"ENSMODG00000000765",1485
"ENSMODG00000000766",594
"ENSMODG00000000767",1462
"ENSMODG00000000768",837
"ENSMODG00000000769",2726
"ENSMODG00000000770",3534
"ENSMODG00000000771",219
"ENSMODG00000000772",4825
"ENSMODG00000000774",1089
"ENSMODG00000000775",1551
"ENSMODG00000000777",3209
"ENSMODG00000000778",1353
"ENSMODG00000000781",3590
"ENSMODG00000000783",1237
"ENSMODG00000000785",5307
"ENSMODG00000000787",2957
"ENSMODG00000000788",507
"ENSMODG00000000789",528
"ENSMODG00000000790",3854
"ENSMODG00000000791",6190
"ENSMODG00000000792",3182
"ENSMODG00000000794",3194
"ENSMODG00000000796",1527
"ENSMODG00000000799",981
"ENSMODG00000000800",2465
"ENSMODG00000000802",3500
"ENSMODG00000000803",2857
"ENSMODG00000000804",4849
"ENSMODG00000000805",1862
"ENSMODG00000000806",6651
"ENSMODG00000000807",4381
"ENSMODG00000000809",1203
"ENSMODG00000000810",369
"ENSMODG00000000812",303
"ENSMODG00000000813",944
"ENSMODG00000000814",729
"ENSMODG00000000817",1476
"ENSMODG00000000818",3402
"ENSMODG00000000820",5069
"ENSMODG00000000821",3834
"ENSMODG00000000822",1518
"ENSMODG00000000824",867
"ENSMODG00000000827",1725
"ENSMODG00000000828",4598
"ENSMODG00000000829",1533
"ENSMODG00000000830",5565
"ENSMODG00000000832",807
"ENSMODG00000000833",5170
"ENSMODG00000000835",3939
"ENSMODG00000000837",500
"ENSMODG00000000838",639
"ENSMODG00000000839",4439
"ENSMODG00000000840",3042
"ENSMODG00000000841",981
"ENSMODG00000000844",3139
"ENSMODG00000000845",939
"ENSMODG00000000846",2158
"ENSMODG00000000847",844
"ENSMODG00000000848",5496
"ENSMODG00000000851",4418.5
"ENSMODG00000000853",2882
"ENSMODG00000000855",2749
"ENSMODG00000000856",1356
"ENSMODG00000000858",1062
"ENSMODG00000000859",3092
"ENSMODG00000000860",977
"ENSMODG00000000861",4268
"ENSMODG00000000862",992
"ENSMODG00000000863",1345
"ENSMODG00000000866",2067
"ENSMODG00000000867",756
"ENSMODG00000000868",5504
"ENSMODG00000000869",309
"ENSMODG00000000870",813
"ENSMODG00000000871",4950
"ENSMODG00000000873",5943
"ENSMODG00000000874",6863
"ENSMODG00000000876",1190
"ENSMODG00000000877",6090
"ENSMODG00000000878",7308
"ENSMODG00000000879",3065
"ENSMODG00000000881",2425
"ENSMODG00000000883",1080
"ENSMODG00000000885",4530
"ENSMODG00000000887",818
"ENSMODG00000000890",930
"ENSMODG00000000891",5563
"ENSMODG00000000892",1128
"ENSMODG00000000893",990
"ENSMODG00000000894",927
"ENSMODG00000000895",2257
"ENSMODG00000000896",964
"ENSMODG00000000898",6219
"ENSMODG00000000899",684
"ENSMODG00000000900",2475
"ENSMODG00000000901",1278
"ENSMODG00000000904",552
"ENSMODG00000000905",5999
"ENSMODG00000000906",922
"ENSMODG00000000907",1512
"ENSMODG00000000908",3192
"ENSMODG00000000909",2367
"ENSMODG00000000910",2379
"ENSMODG00000000911",6576
"ENSMODG00000000912",5117
"ENSMODG00000000913",1698
"ENSMODG00000000915",3895
"ENSMODG00000000916",9367
"ENSMODG00000000918",789
"ENSMODG00000000919",675
"ENSMODG00000000921",3772
"ENSMODG00000000922",4792
"ENSMODG00000000923",3756
"ENSMODG00000000925",9044.5
"ENSMODG00000000926",6578
"ENSMODG00000000927",1963
"ENSMODG00000000928",1026
"ENSMODG00000000929",5173
"ENSMODG00000000930",6197
"ENSMODG00000000931",4307
"ENSMODG00000000933",1663.5
"ENSMODG00000000934",3788
"ENSMODG00000000935",5318
"ENSMODG00000000936",3499
"ENSMODG00000000937",1977
"ENSMODG00000000938",588
"ENSMODG00000000942",4804
"ENSMODG00000000943",456
"ENSMODG00000000944",5305
"ENSMODG00000000945",1266
"ENSMODG00000000946",1053
"ENSMODG00000000947",7307
"ENSMODG00000000950",4420
"ENSMODG00000000951",3834
"ENSMODG00000000952",843
"ENSMODG00000000953",2589
"ENSMODG00000000954",3906
"ENSMODG00000000956",1368
"ENSMODG00000000957",5611
"ENSMODG00000000961",4919
"ENSMODG00000000962",1399
"ENSMODG00000000963",1703
"ENSMODG00000000964",5576
"ENSMODG00000000965",634
"ENSMODG00000000966",6292
"ENSMODG00000000967",1769
"ENSMODG00000000968",654
"ENSMODG00000000969",873
"ENSMODG00000000970",258
"ENSMODG00000000972",5861
"ENSMODG00000000973",303
"ENSMODG00000000974",2803
"ENSMODG00000000975",1551
"ENSMODG00000000976",327
"ENSMODG00000000977",6498
"ENSMODG00000000978",789
"ENSMODG00000000979",5820
"ENSMODG00000000980",2488
"ENSMODG00000000981",4966
"ENSMODG00000000983",7735
"ENSMODG00000000984",700.5
"ENSMODG00000000986",1188
"ENSMODG00000000987",4304
"ENSMODG00000000988",1986
"ENSMODG00000000989",2902
"ENSMODG00000000990",2460
"ENSMODG00000000991",6435
"ENSMODG00000000992",435
"ENSMODG00000000993",474
"ENSMODG00000000994",8557
"ENSMODG00000000995",3720
"ENSMODG00000000996",4928
"ENSMODG00000000997",3323
"ENSMODG00000000998",4020
"ENSMODG00000000999",2512
"ENSMODG00000001001",4485
"ENSMODG00000001002",10114
"ENSMODG00000001004",3035
"ENSMODG00000001006",2439
"ENSMODG00000001007",3701
"ENSMODG00000001008",3571
"ENSMODG00000001009",2122
"ENSMODG00000001011",432
"ENSMODG00000001012",1095
"ENSMODG00000001013",2411
"ENSMODG00000001014",3912
"ENSMODG00000001015",3712
"ENSMODG00000001016",1966
"ENSMODG00000001017",2865
"ENSMODG00000001018",4728
"ENSMODG00000001019",1004
"ENSMODG00000001020",5879
"ENSMODG00000001021",8260
"ENSMODG00000001022",1026
"ENSMODG00000001023",1492
"ENSMODG00000001024",315
"ENSMODG00000001026",666
"ENSMODG00000001027",3220.5
"ENSMODG00000001028",4565
"ENSMODG00000001029",3027.5
"ENSMODG00000001030",1804
"ENSMODG00000001031",5453
"ENSMODG00000001032",4201
"ENSMODG00000001033",540
"ENSMODG00000001036",4646
"ENSMODG00000001037",888
"ENSMODG00000001039",5584
"ENSMODG00000001040",4366
"ENSMODG00000001041",2577
"ENSMODG00000001042",681
"ENSMODG00000001043",3174
"ENSMODG00000001044",267
"ENSMODG00000001045",6512
"ENSMODG00000001046",2431
"ENSMODG00000001048",1777
"ENSMODG00000001049",4810
"ENSMODG00000001050",663
"ENSMODG00000001051",192
"ENSMODG00000001052",1444
"ENSMODG00000001053",861
"ENSMODG00000001054",2184
"ENSMODG00000001055",1642
"ENSMODG00000001056",3948
"ENSMODG00000001058",2022
"ENSMODG00000001059",1082
"ENSMODG00000001060",3673
"ENSMODG00000001061",993
"ENSMODG00000001062",5035
"ENSMODG00000001063",2169
"ENSMODG00000001064",7211
"ENSMODG00000001065",2184
"ENSMODG00000001067",3554
"ENSMODG00000001068",5402
"ENSMODG00000001070",8366
"ENSMODG00000001071",1275
"ENSMODG00000001072",4127
"ENSMODG00000001073",1213
"ENSMODG00000001074",4211
"ENSMODG00000001075",4718
"ENSMODG00000001077",939
"ENSMODG00000001078",7739
"ENSMODG00000001079",5924
"ENSMODG00000001080",1027.5
"ENSMODG00000001081",2072
"ENSMODG00000001082",1811
"ENSMODG00000001084",1923.5
"ENSMODG00000001085",969
"ENSMODG00000001086",1044
"ENSMODG00000001087",4136
"ENSMODG00000001088",1671
"ENSMODG00000001089",3171
"ENSMODG00000001090",270
"ENSMODG00000001093",2531
"ENSMODG00000001094",1634
"ENSMODG00000001096",4448
"ENSMODG00000001098",2805
"ENSMODG00000001099",5503
"ENSMODG00000001101",2722
"ENSMODG00000001102",9268
"ENSMODG00000001103",732
"ENSMODG00000001104",5374
"ENSMODG00000001105",1389
"ENSMODG00000001106",1225
"ENSMODG00000001108",7282
"ENSMODG00000001109",1741
"ENSMODG00000001112",6134
"ENSMODG00000001113",1040
"ENSMODG00000001114",3651.5
"ENSMODG00000001115",1200
"ENSMODG00000001116",3231
"ENSMODG00000001119",4647
"ENSMODG00000001121",895
"ENSMODG00000001122",1519
"ENSMODG00000001125",2186
"ENSMODG00000001127",7858
"ENSMODG00000001128",636
"ENSMODG00000001129",4086
"ENSMODG00000001130",3678
"ENSMODG00000001131",9131
"ENSMODG00000001133",5621
"ENSMODG00000001134",1123
"ENSMODG00000001135",936
"ENSMODG00000001136",1206
"ENSMODG00000001137",8709
"ENSMODG00000001138",2521
"ENSMODG00000001139",7063
"ENSMODG00000001141",1362
"ENSMODG00000001143",681
"ENSMODG00000001144",835
"ENSMODG00000001145",1566
"ENSMODG00000001146",1475
"ENSMODG00000001147",949.5
"ENSMODG00000001148",978
"ENSMODG00000001149",6005
"ENSMODG00000001150",5049
"ENSMODG00000001151",3158
"ENSMODG00000001152",4389
"ENSMODG00000001153",696
"ENSMODG00000001154",8483
"ENSMODG00000001155",705
"ENSMODG00000001157",3858
"ENSMODG00000001159",1850
"ENSMODG00000001160",2581
"ENSMODG00000001161",5726
"ENSMODG00000001162",1693
"ENSMODG00000001163",1749
"ENSMODG00000001164",3660
"ENSMODG00000001166",1347
"ENSMODG00000001168",4434
"ENSMODG00000001169",1311
"ENSMODG00000001170",2902
"ENSMODG00000001173",3392
"ENSMODG00000001174",2486
"ENSMODG00000001175",6279
"ENSMODG00000001176",1411
"ENSMODG00000001177",4972
"ENSMODG00000001178",4951
"ENSMODG00000001179",2755
"ENSMODG00000001180",11506
"ENSMODG00000001181",960
"ENSMODG00000001182",6712
"ENSMODG00000001183",2494
"ENSMODG00000001184",5725
"ENSMODG00000001185",405
"ENSMODG00000001186",2343
"ENSMODG00000001188",3543
"ENSMODG00000001189",294
"ENSMODG00000001190",3549
"ENSMODG00000001191",3249
"ENSMODG00000001192",1732
"ENSMODG00000001194",504
"ENSMODG00000001195",2075
"ENSMODG00000001196",1197
"ENSMODG00000001197",2978
"ENSMODG00000001198",4353
"ENSMODG00000001199",10089
"ENSMODG00000001201",3293
"ENSMODG00000001204",5572
"ENSMODG00000001207",4119
"ENSMODG00000001208",826
"ENSMODG00000001209",1595
"ENSMODG00000001210",1197
"ENSMODG00000001211",5402
"ENSMODG00000001212",8845
"ENSMODG00000001213",2514
"ENSMODG00000001215",2989
"ENSMODG00000001216",924
"ENSMODG00000001217",3664
"ENSMODG00000001218",1854
