"dnov_ensembl_gid","dnov_feature_length"
"ENSDNOG00000000486",1602
"ENSDNOG00000000488",3607
"ENSDNOG00000000491",3012
"ENSDNOG00000000495",7427
"ENSDNOG00000000498",1128
"ENSDNOG00000000503",5496
"ENSDNOG00000000504",969
"ENSDNOG00000000509",878
"ENSDNOG00000000513",2739
"ENSDNOG00000000515",1549
"ENSDNOG00000000516",2316
"ENSDNOG00000000524",1872
"ENSDNOG00000000525",2367
"ENSDNOG00000000526",744
"ENSDNOG00000000527",4463
"ENSDNOG00000000528",915
"ENSDNOG00000000529",1096
"ENSDNOG00000000533",405
"ENSDNOG00000000535",318
"ENSDNOG00000000536",1587
"ENSDNOG00000000537",1397
"ENSDNOG00000000538",678
"ENSDNOG00000000540",692.5
"ENSDNOG00000000543",1629.5
"ENSDNOG00000000544",315
"ENSDNOG00000000545",3449
"ENSDNOG00000000546",1786
"ENSDNOG00000000548",2791
"ENSDNOG00000000549",1418
"ENSDNOG00000000551",5174
"ENSDNOG00000000559",836
"ENSDNOG00000000562",2040
"ENSDNOG00000000567",1305
"ENSDNOG00000000570",2067
"ENSDNOG00000000572",735
"ENSDNOG00000000577",4258
"ENSDNOG00000000578",1992
"ENSDNOG00000000580",4013
"ENSDNOG00000000581",4132
"ENSDNOG00000000584",3134
"ENSDNOG00000000589",597
"ENSDNOG00000000591",4668
"ENSDNOG00000000596",1854
"ENSDNOG00000000603",5982
"ENSDNOG00000000605",2259
"ENSDNOG00000000607",1775.5
"ENSDNOG00000000609",1292
"ENSDNOG00000000612",2873
"ENSDNOG00000000613",2384
"ENSDNOG00000000614",6947
"ENSDNOG00000000622",1110
"ENSDNOG00000000623",1014
"ENSDNOG00000000625",1153
"ENSDNOG00000000626",7386
"ENSDNOG00000000627",519
"ENSDNOG00000000629",1062
"ENSDNOG00000000633",1383
"ENSDNOG00000000635",870
"ENSDNOG00000000638",945
"ENSDNOG00000000639",2640
"ENSDNOG00000000640",921
"ENSDNOG00000000641",2328
"ENSDNOG00000000642",969
"ENSDNOG00000000643",1857
"ENSDNOG00000000644",2376
"ENSDNOG00000000646",6135
"ENSDNOG00000000647",1049
"ENSDNOG00000000648",10209.5
"ENSDNOG00000000650",5141
"ENSDNOG00000000653",648
"ENSDNOG00000000654",5350
"ENSDNOG00000000659",516
"ENSDNOG00000000661",1642
"ENSDNOG00000000662",1176
"ENSDNOG00000000666",3307
"ENSDNOG00000000669",3790
"ENSDNOG00000000672",4041
"ENSDNOG00000000674",1535
"ENSDNOG00000000676",1368.5
"ENSDNOG00000000678",928
"ENSDNOG00000000682",2425
"ENSDNOG00000000683",1601
"ENSDNOG00000000687",5002
"ENSDNOG00000000688",3633.5
"ENSDNOG00000000693",3798
"ENSDNOG00000000694",966
"ENSDNOG00000000695",1597
"ENSDNOG00000000697",237
"ENSDNOG00000000698",1848
"ENSDNOG00000000704",1257
"ENSDNOG00000000706",360
"ENSDNOG00000000708",1718
"ENSDNOG00000000711",1254
"ENSDNOG00000000712",2663
"ENSDNOG00000000718",2317
"ENSDNOG00000000720",876
"ENSDNOG00000000721",597
"ENSDNOG00000000724",1914
"ENSDNOG00000000725",4652
"ENSDNOG00000000727",2172
"ENSDNOG00000000728",2643
"ENSDNOG00000000730",3143
"ENSDNOG00000000731",729
"ENSDNOG00000000732",3001
"ENSDNOG00000000740",684
"ENSDNOG00000000741",975
"ENSDNOG00000000744",1167
"ENSDNOG00000000745",1670
"ENSDNOG00000000749",1230
"ENSDNOG00000000752",683
"ENSDNOG00000000756",543
"ENSDNOG00000000757",1330
"ENSDNOG00000000758",771
"ENSDNOG00000000761",1794
"ENSDNOG00000000762",10484
"ENSDNOG00000000763",5833
"ENSDNOG00000000764",378
"ENSDNOG00000000765",3236
"ENSDNOG00000000766",3499
"ENSDNOG00000000767",1428.5
"ENSDNOG00000000768",2774
"ENSDNOG00000000770",204
"ENSDNOG00000000771",4310
"ENSDNOG00000000774",2184
"ENSDNOG00000000775",1050
"ENSDNOG00000000776",1724
"ENSDNOG00000000779",780
"ENSDNOG00000000780",992
"ENSDNOG00000000782",1818
"ENSDNOG00000000795",1116
"ENSDNOG00000000796",1860
"ENSDNOG00000000797",2328
"ENSDNOG00000000799",2616
"ENSDNOG00000000800",4257
"ENSDNOG00000000806",4366
"ENSDNOG00000000807",1179
"ENSDNOG00000000808",2837
"ENSDNOG00000000809",1218
"ENSDNOG00000000812",3291
"ENSDNOG00000000813",1456
"ENSDNOG00000000814",654
"ENSDNOG00000000815",918
"ENSDNOG00000000816",3267
"ENSDNOG00000000819",2761
"ENSDNOG00000000820",1756
"ENSDNOG00000000823",5178
"ENSDNOG00000000826",3019
"ENSDNOG00000000828",4780.5
"ENSDNOG00000000830",2324
"ENSDNOG00000000831",786
"ENSDNOG00000000833",3388
"ENSDNOG00000000835",390
"ENSDNOG00000000836",2535
"ENSDNOG00000000837",2742
"ENSDNOG00000000839",414
"ENSDNOG00000000840",3330
"ENSDNOG00000000841",4117
"ENSDNOG00000000842",1667
"ENSDNOG00000000845",606
"ENSDNOG00000000852",2427
"ENSDNOG00000000854",1563
"ENSDNOG00000000855",1902
"ENSDNOG00000000856",1273
"ENSDNOG00000000862",2343
"ENSDNOG00000000863",1373
"ENSDNOG00000000867",1550
"ENSDNOG00000000868",1781
"ENSDNOG00000000871",2019
"ENSDNOG00000000872",3677.5
"ENSDNOG00000000874",2633
"ENSDNOG00000000875",10296
"ENSDNOG00000000877",3461
"ENSDNOG00000000878",1248
"ENSDNOG00000000879",2847.5
"ENSDNOG00000000880",1955
"ENSDNOG00000000882",1707
"ENSDNOG00000000886",2310
"ENSDNOG00000000887",630
"ENSDNOG00000000888",1002
"ENSDNOG00000000889",4830
"ENSDNOG00000000891",1734
"ENSDNOG00000000895",610
"ENSDNOG00000000896",1128
"ENSDNOG00000000899",513
"ENSDNOG00000000902",2334
"ENSDNOG00000000903",5050
"ENSDNOG00000000905",2989
"ENSDNOG00000000907",3738
"ENSDNOG00000000914",309
"ENSDNOG00000000916",1836
"ENSDNOG00000000918",741
"ENSDNOG00000000919",762
"ENSDNOG00000000920",7608
"ENSDNOG00000000922",4814
"ENSDNOG00000000925",1699
"ENSDNOG00000000926",1313
"ENSDNOG00000000929",1212
"ENSDNOG00000000933",1740
"ENSDNOG00000000934",495
"ENSDNOG00000000935",1794
"ENSDNOG00000000936",1008
"ENSDNOG00000000937",2316
"ENSDNOG00000000938",5428
"ENSDNOG00000000941",925
"ENSDNOG00000000944",5035
"ENSDNOG00000000945",2431.5
"ENSDNOG00000000946",3370
"ENSDNOG00000000948",3990
"ENSDNOG00000000949",7397
"ENSDNOG00000000955",639
"ENSDNOG00000000957",4156
"ENSDNOG00000000965",7968
"ENSDNOG00000000975",2195.5
"ENSDNOG00000000976",1210.5
"ENSDNOG00000000979",1369.5
"ENSDNOG00000000981",357
"ENSDNOG00000000986",1500
"ENSDNOG00000000987",342
"ENSDNOG00000000993",2809
"ENSDNOG00000000994",4275
"ENSDNOG00000000999",3788
"ENSDNOG00000001000",2708
"ENSDNOG00000001002",1317
"ENSDNOG00000001007",2697.5
"ENSDNOG00000001008",2842
"ENSDNOG00000001011",5312
"ENSDNOG00000001013",2716
"ENSDNOG00000001014",855
"ENSDNOG00000001015",1599
"ENSDNOG00000001016",2271
"ENSDNOG00000001017",1992
"ENSDNOG00000001019",894
"ENSDNOG00000001021",897
"ENSDNOG00000001024",4054.5
"ENSDNOG00000001032",207
"ENSDNOG00000001034",5178
"ENSDNOG00000001035",3439
"ENSDNOG00000001037",1810
"ENSDNOG00000001038",1134
"ENSDNOG00000001039",1686.5
"ENSDNOG00000001042",3686
"ENSDNOG00000001044",1395
"ENSDNOG00000001045",504
"ENSDNOG00000001046",1548
"ENSDNOG00000001047",3247
"ENSDNOG00000001048",1930
"ENSDNOG00000001051",1839
"ENSDNOG00000001053",1836
"ENSDNOG00000001060",927
"ENSDNOG00000001064",906
"ENSDNOG00000001068",1443
"ENSDNOG00000001069",1174
"ENSDNOG00000001071",2077
"ENSDNOG00000001072",2325
"ENSDNOG00000001074",4182
"ENSDNOG00000001075",2829
"ENSDNOG00000001076",966
"ENSDNOG00000001077",2027
"ENSDNOG00000001079",1956
"ENSDNOG00000001080",705
"ENSDNOG00000001081",708
"ENSDNOG00000001082",890
"ENSDNOG00000001083",1576
"ENSDNOG00000001086",3287
"ENSDNOG00000001091",1630
"ENSDNOG00000001092",5521
"ENSDNOG00000001095",834
"ENSDNOG00000001098",3698
"ENSDNOG00000001100",1296
"ENSDNOG00000001107",831
"ENSDNOG00000001108",2228
"ENSDNOG00000001110",7450
"ENSDNOG00000001111",5670
"ENSDNOG00000001112",10560
"ENSDNOG00000001116",2153
"ENSDNOG00000001119",1257
"ENSDNOG00000001120",927
"ENSDNOG00000001124",2277
"ENSDNOG00000001126",987
"ENSDNOG00000001127",387
"ENSDNOG00000001128",4199
"ENSDNOG00000001129",1022
"ENSDNOG00000001130",1311
"ENSDNOG00000001131",375
"ENSDNOG00000001133",2424
"ENSDNOG00000001134",5742
"ENSDNOG00000001136",1776
"ENSDNOG00000001137",1796
"ENSDNOG00000001139",948
"ENSDNOG00000001142",567
"ENSDNOG00000001144",552
"ENSDNOG00000001146",2292
"ENSDNOG00000001150",765
"ENSDNOG00000001152",7424
"ENSDNOG00000001153",4428
"ENSDNOG00000001154",2159
"ENSDNOG00000001155",5010
"ENSDNOG00000001157",987
"ENSDNOG00000001159",3045
"ENSDNOG00000001166",4062
"ENSDNOG00000001167",4699
"ENSDNOG00000001169",3592
"ENSDNOG00000001170",1434
"ENSDNOG00000001171",1119
"ENSDNOG00000001172",4858
"ENSDNOG00000001173",6515
"ENSDNOG00000001174",4589.5
"ENSDNOG00000001176",1350
"ENSDNOG00000001180",552
"ENSDNOG00000001189",1016
"ENSDNOG00000001193",987.5
"ENSDNOG00000001196",1026
"ENSDNOG00000001199",1830
"ENSDNOG00000001204",2166
"ENSDNOG00000001205",324
"ENSDNOG00000001206",479
"ENSDNOG00000001209",2111
"ENSDNOG00000001211",7338
"ENSDNOG00000001216",3053
"ENSDNOG00000001217",771
"ENSDNOG00000001218",1788
"ENSDNOG00000001219",3765
"ENSDNOG00000001222",3801
"ENSDNOG00000001224",4029
"ENSDNOG00000001225",1645
"ENSDNOG00000001227",4018
"ENSDNOG00000001230",823
"ENSDNOG00000001231",2218
"ENSDNOG00000001232",2528
"ENSDNOG00000001236",603
"ENSDNOG00000001240",816
"ENSDNOG00000001242",1579
"ENSDNOG00000001243",984
"ENSDNOG00000001244",852
"ENSDNOG00000001246",816
"ENSDNOG00000001251",7701
"ENSDNOG00000001253",4494
"ENSDNOG00000001256",1965
"ENSDNOG00000001258",5797
"ENSDNOG00000001259",267
"ENSDNOG00000001260",672
"ENSDNOG00000001261",1107
"ENSDNOG00000001265",1752
"ENSDNOG00000001274",2192
"ENSDNOG00000001276",3249
"ENSDNOG00000001277",3731
"ENSDNOG00000001282",2677
"ENSDNOG00000001287",3687
"ENSDNOG00000001289",936
"ENSDNOG00000001291",2508
"ENSDNOG00000001292",5584
"ENSDNOG00000001293",2724
"ENSDNOG00000001294",597
"ENSDNOG00000001297",2223
"ENSDNOG00000001298",2042
"ENSDNOG00000001300",4189
"ENSDNOG00000001301",885
"ENSDNOG00000001304",1901
"ENSDNOG00000001305",747
"ENSDNOG00000001310",462
"ENSDNOG00000001312",2842
"ENSDNOG00000001313",2449
"ENSDNOG00000001315",4518
"ENSDNOG00000001319",1689
"ENSDNOG00000001321",9626.5
"ENSDNOG00000001325",1341
"ENSDNOG00000001326",1734
"ENSDNOG00000001329",4466
"ENSDNOG00000001330",1260
"ENSDNOG00000001334",2626
"ENSDNOG00000001336",1427
"ENSDNOG00000001337",7593
"ENSDNOG00000001339",1679
"ENSDNOG00000001340",2093
"ENSDNOG00000001342",1172.5
"ENSDNOG00000001344",537
"ENSDNOG00000001345",4484
"ENSDNOG00000001347",2274
"ENSDNOG00000001349",8163
"ENSDNOG00000001352",1090.5
"ENSDNOG00000001353",199.5
"ENSDNOG00000001354",1793.5
"ENSDNOG00000001356",1065
"ENSDNOG00000001357",552
"ENSDNOG00000001360",2035
"ENSDNOG00000001366",3526
"ENSDNOG00000001368",2093
"ENSDNOG00000001370",690
"ENSDNOG00000001371",1386
"ENSDNOG00000001373",375
"ENSDNOG00000001374",4961
"ENSDNOG00000001375",5180
"ENSDNOG00000001377",4156.5
"ENSDNOG00000001382",984
"ENSDNOG00000001384",858
"ENSDNOG00000001385",2262
"ENSDNOG00000001388",1237
"ENSDNOG00000001390",1745
"ENSDNOG00000001396",1284
"ENSDNOG00000001397",2118
"ENSDNOG00000001399",6540
"ENSDNOG00000001401",8126
"ENSDNOG00000001403",816
"ENSDNOG00000001407",3394
"ENSDNOG00000001408",1968
"ENSDNOG00000001409",513
"ENSDNOG00000001410",936
"ENSDNOG00000001413",2890
"ENSDNOG00000001414",2114
"ENSDNOG00000001415",1413
"ENSDNOG00000001416",684
"ENSDNOG00000001420",3456
"ENSDNOG00000001431",3568
"ENSDNOG00000001432",3189.5
"ENSDNOG00000001433",1327.5
"ENSDNOG00000001438",864
"ENSDNOG00000001439",1214
"ENSDNOG00000001443",3802
"ENSDNOG00000001444",6770
"ENSDNOG00000001445",984
"ENSDNOG00000001447",613.5
"ENSDNOG00000001448",750
"ENSDNOG00000001452",714
"ENSDNOG00000001453",1686
"ENSDNOG00000001455",984.5
"ENSDNOG00000001462",2160
"ENSDNOG00000001464",1722
"ENSDNOG00000001465",4808
"ENSDNOG00000001467",2334
"ENSDNOG00000001468",4648
"ENSDNOG00000001470",754
"ENSDNOG00000001471",5056
"ENSDNOG00000001474",893
"ENSDNOG00000001481",927
"ENSDNOG00000001484",1041
"ENSDNOG00000001485",1199.5
"ENSDNOG00000001486",720
"ENSDNOG00000001487",2781
"ENSDNOG00000001489",3228
"ENSDNOG00000001491",1353
"ENSDNOG00000001494",1470
"ENSDNOG00000001495",1835
"ENSDNOG00000001497",2891
"ENSDNOG00000001499",1572
"ENSDNOG00000001500",2523
"ENSDNOG00000001502",1071
"ENSDNOG00000001504",7921
"ENSDNOG00000001505",1898
"ENSDNOG00000001507",3458
"ENSDNOG00000001510",390
"ENSDNOG00000001512",1536
"ENSDNOG00000001513",1017
"ENSDNOG00000001515",1921
"ENSDNOG00000001516",2148
"ENSDNOG00000001517",1977
"ENSDNOG00000001518",6494
"ENSDNOG00000001520",665
"ENSDNOG00000001523",1938
"ENSDNOG00000001524",6838
"ENSDNOG00000001531",906
"ENSDNOG00000001532",1746
"ENSDNOG00000001533",1890
"ENSDNOG00000001536",873
"ENSDNOG00000001537",5060
"ENSDNOG00000001538",7372
"ENSDNOG00000001539",3048
"ENSDNOG00000001541",1148
"ENSDNOG00000001544",3375
"ENSDNOG00000001545",1322.5
"ENSDNOG00000001548",2186
"ENSDNOG00000001553",1281
"ENSDNOG00000001554",5982.5
"ENSDNOG00000001556",1718
"ENSDNOG00000001558",366
"ENSDNOG00000001560",1918
"ENSDNOG00000001561",1113
"ENSDNOG00000001562",2519
"ENSDNOG00000001565",3303
"ENSDNOG00000001566",2874
"ENSDNOG00000001567",5576
"ENSDNOG00000001568",1080
"ENSDNOG00000001570",1128
"ENSDNOG00000001576",1944
"ENSDNOG00000001577",867
"ENSDNOG00000001578",885
"ENSDNOG00000001579",3035
"ENSDNOG00000001580",5762
"ENSDNOG00000001581",3881
"ENSDNOG00000001582",4083
"ENSDNOG00000001585",4956
"ENSDNOG00000001586",2954
"ENSDNOG00000001588",750
"ENSDNOG00000001589",893
"ENSDNOG00000001591",2004
"ENSDNOG00000001593",1297
"ENSDNOG00000001595",888
"ENSDNOG00000001596",228
"ENSDNOG00000001600",463
"ENSDNOG00000001604",4859
"ENSDNOG00000001607",1350
"ENSDNOG00000001608",1891
"ENSDNOG00000001609",1236
"ENSDNOG00000001610",3540
"ENSDNOG00000001613",6714
"ENSDNOG00000001614",2722
"ENSDNOG00000001616",693
"ENSDNOG00000001618",1365
"ENSDNOG00000001620",855
"ENSDNOG00000001626",1326
"ENSDNOG00000001628",3798
"ENSDNOG00000001629",1416
"ENSDNOG00000001632",2344
"ENSDNOG00000001633",1418
"ENSDNOG00000001636",763
"ENSDNOG00000001637",4709
"ENSDNOG00000001639",3132
"ENSDNOG00000001642",1176
"ENSDNOG00000001649",1029
"ENSDNOG00000001650",996
"ENSDNOG00000001656",5697
"ENSDNOG00000001657",849
"ENSDNOG00000001660",363
"ENSDNOG00000001662",1446
"ENSDNOG00000001663",2692
"ENSDNOG00000001664",3539
"ENSDNOG00000001665",2296
"ENSDNOG00000001666",2494
"ENSDNOG00000001668",348
"ENSDNOG00000001670",3567
"ENSDNOG00000001672",747
"ENSDNOG00000001674",1461
"ENSDNOG00000001675",2040
"ENSDNOG00000001679",3593
"ENSDNOG00000001680",4832
"ENSDNOG00000001682",3054
"ENSDNOG00000001684",3272
"ENSDNOG00000001686",1516
"ENSDNOG00000001687",1389
"ENSDNOG00000001688",3207
"ENSDNOG00000001689",1638
"ENSDNOG00000001690",2035
"ENSDNOG00000001691",813
"ENSDNOG00000001692",1268
"ENSDNOG00000001694",1990
"ENSDNOG00000001696",3266
"ENSDNOG00000001697",1569
"ENSDNOG00000001703",2249
"ENSDNOG00000001706",2452
"ENSDNOG00000001707",1971
"ENSDNOG00000001708",2763
"ENSDNOG00000001710",1350
"ENSDNOG00000001714",4495
"ENSDNOG00000001720",2935.5
"ENSDNOG00000001733",4363
"ENSDNOG00000001736",828
"ENSDNOG00000001738",492
"ENSDNOG00000001739",2715
"ENSDNOG00000001740",1332
"ENSDNOG00000001742",4592
"ENSDNOG00000001745",3511.5
"ENSDNOG00000001746",7632
"ENSDNOG00000001749",1968
"ENSDNOG00000001750",1011
"ENSDNOG00000001753",2202
"ENSDNOG00000001756",3425
"ENSDNOG00000001759",912
"ENSDNOG00000001760",7943
"ENSDNOG00000001766",489
"ENSDNOG00000001767",3989
"ENSDNOG00000001769",1077
"ENSDNOG00000001770",3770
"ENSDNOG00000001774",5612
"ENSDNOG00000001777",477
"ENSDNOG00000001779",1345
"ENSDNOG00000001780",1157
"ENSDNOG00000001781",474
"ENSDNOG00000001790",1340
"ENSDNOG00000001791",1545
"ENSDNOG00000001792",2556
"ENSDNOG00000001797",2102
"ENSDNOG00000001798",1405
"ENSDNOG00000001801",4020
"ENSDNOG00000001802",2000
"ENSDNOG00000001806",3704
"ENSDNOG00000001807",1889
"ENSDNOG00000001808",1730
"ENSDNOG00000001810",2873
"ENSDNOG00000001817",2232
"ENSDNOG00000001818",3668
"ENSDNOG00000001836",2036
"ENSDNOG00000001838",5376
"ENSDNOG00000001839",9367
"ENSDNOG00000001843",579
"ENSDNOG00000001847",1323
"ENSDNOG00000001849",3034
"ENSDNOG00000001850",6238
"ENSDNOG00000001851",1524
"ENSDNOG00000001855",1683
"ENSDNOG00000001856",1849
"ENSDNOG00000001858",1161
"ENSDNOG00000001860",3666
"ENSDNOG00000001861",588
"ENSDNOG00000001864",1416
"ENSDNOG00000001867",1650
"ENSDNOG00000001868",1639
"ENSDNOG00000001871",1833
"ENSDNOG00000001876",2532
"ENSDNOG00000001879",1244
"ENSDNOG00000001880",1005
"ENSDNOG00000001881",3892
"ENSDNOG00000001882",2774
"ENSDNOG00000001886",1437
"ENSDNOG00000001887",3333
"ENSDNOG00000001894",770
"ENSDNOG00000001895",5120
"ENSDNOG00000001899",3937
"ENSDNOG00000001902",1561
"ENSDNOG00000001903",1245
"ENSDNOG00000001908",3449
"ENSDNOG00000001910",3796
"ENSDNOG00000001913",942
"ENSDNOG00000001915",852
"ENSDNOG00000001917",2440
"ENSDNOG00000001920",969
"ENSDNOG00000001921",4727
"ENSDNOG00000001922",1942
"ENSDNOG00000001924",5619
"ENSDNOG00000001929",1465
"ENSDNOG00000001931",1944
"ENSDNOG00000001932",4644
"ENSDNOG00000001933",2161
"ENSDNOG00000001934",6195
"ENSDNOG00000001937",996
"ENSDNOG00000001938",2034
"ENSDNOG00000001939",1644
"ENSDNOG00000001942",908
"ENSDNOG00000001943",354
"ENSDNOG00000001947",736
"ENSDNOG00000001948",956
"ENSDNOG00000001950",8286
"ENSDNOG00000001955",1393
"ENSDNOG00000001956",3213
"ENSDNOG00000001963",20916
"ENSDNOG00000001965",3123.5
"ENSDNOG00000001966",3489
"ENSDNOG00000001967",3264
"ENSDNOG00000001969",3808
"ENSDNOG00000001971",1962
"ENSDNOG00000001973",1914
"ENSDNOG00000001976",9687
"ENSDNOG00000001978",1251
"ENSDNOG00000001979",663
"ENSDNOG00000001980",1233
"ENSDNOG00000001983",2385
"ENSDNOG00000001984",325
"ENSDNOG00000001986",510
"ENSDNOG00000001987",1143
"ENSDNOG00000001994",1617
"ENSDNOG00000001995",1158
"ENSDNOG00000001996",1332
"ENSDNOG00000001998",1088
"ENSDNOG00000001999",2378
"ENSDNOG00000002000",5319
"ENSDNOG00000002005",1550
"ENSDNOG00000002007",1432
"ENSDNOG00000002008",882
"ENSDNOG00000002009",2158
"ENSDNOG00000002011",2241
