"hsap_ensembl_gid","hsap_gene_name","control_1","control_2","control_3","control_4","conditioned_1","conditioned_2","conditioned_3","conditioned_4"
"ENSG00000000003","TSPAN6",6,5,5,7,7,1,10,4
"ENSG00000000005","TNMD",0,0,0,0,0,0,0,0
"ENSG00000000419","DPM1",861,1155,520,958,1242,833,862,875
"ENSG00000000457","SCYL3",299,408,207,434,582,364,463,370
"ENSG00000000460","C1orf112",265,416,192,431,595,424,438,396
"ENSG00000000938","FGR",2,6,2,3,3,5,0,1
"ENSG00000000971","CFH",0,0,0,0,1,5,0,2
"ENSG00000001036","FUCA2",332,446,230,491,502,346,344,329
"ENSG00000001084","GCLC",1441,2137,1018,2278,2329,1597,1958,1610
"ENSG00000001167","NFYA",939,1780,712,1403,1381,869,936,825
"ENSG00000001460","STPG1",384,555,274,545,693,472,512,402
"ENSG00000001461","NIPAL3",3597,5358,2490,5481,6601,4247,4585,3748
"ENSG00000001497","LAS1L",516,757,431,719,1067,722,551,573
"ENSG00000001561","ENPP4",849,1435,514,1209,1276,802,1273,920
"ENSG00000001617","SEMA3F",3,8,0,2,12,8,2,1
"ENSG00000001626","CFTR",0,12,2,15,26,11,27,25
"ENSG00000001629","ANKIB1",1123,1661,836,1760,2752,1690,2478,1886
"ENSG00000001630","CYP51A1",370,705,266,591,569,386,290,250
"ENSG00000001631","KRIT1",219,352,154,263,510,365,426,382
"ENSG00000002016","RAD52",23,47,17,41,53,28,32,22
"ENSG00000002330","BAD",699,1159,531,1020,1030,650,521,539
"ENSG00000002549","LAP3",1881,2858,1487,3340,5359,3949,3532,3185
"ENSG00000002586","CD99",8329,13124,6191,11226,10478,7526,4701,5367
"ENSG00000002587","HS3ST1",1,0,5,6,18,10,4,8
"ENSG00000002726","AOC1",0,2,0,3,7,4,2,0
"ENSG00000002745","WNT16",1,0,0,4,0,0,3,0
"ENSG00000002746","HECW1",0,1,0,2,1,1,0,0
"ENSG00000002822","MAD1L1",578,937,438,789,790,551,385,342
"ENSG00000002834","LASP1",5397,8353,3997,7950,10082,6800,6152,5155
"ENSG00000002919","SNX11",410,579,312,560,665,428,362,379
"ENSG00000002933","TMEM176A",2,11,5,9,28,14,17,12
"ENSG00000003056","M6PR",2308,3747,1740,3584,3935,2767,2574,2297
"ENSG00000003096","KLHL13",16,39,12,25,43,27,33,24
"ENSG00000003137","CYP26B1",2,2,0,2,0,0,1,0
"ENSG00000003147","ICA1",38,62,18,45,60,51,56,29
"ENSG00000003249","DBNDD1",47,70,38,53,131,64,87,43
"ENSG00000003393","ALS2",284,459,204,458,530,379,413,334
"ENSG00000003400","CASP10",555,796,357,800,1171,700,756,726
"ENSG00000003402","CFLAR",7302,10277,5097,9863,12816,8778,10150,8589
"ENSG00000003436","TFPI",174,206,116,210,227,163,311,235
"ENSG00000003509","NDUFAF7",326,551,228,473,505,305,348,282
"ENSG00000003756","RBM5",378,470,200,599,1149,633,842,714
"ENSG00000003987","MTMR7",4,3,3,10,7,4,13,4
"ENSG00000003989","SLC7A2",1,0,0,8,4,5,2,2
"ENSG00000004059","ARF5",1063,1711,712,1519,1662,1054,841,842
"ENSG00000004139","SARM1",149,247,116,250,505,249,259,240
"ENSG00000004142","POLDIP2",1122,1644,793,1646,2422,1488,1287,1212
"ENSG00000004399","PLXND1",166,169,102,230,285,179,223,208
"ENSG00000004455","AK2",3849,6126,3010,5557,5554,3721,3072,3136
"ENSG00000004468","CD38",227,299,147,385,879,554,1098,722
"ENSG00000004478","FKBP4",3630,5035,2506,5333,5449,3702,3110,2994
"ENSG00000004487","KDM1A",1712,2718,1327,2730,3439,2353,2100,1747
"ENSG00000004534","RBM6",586,805,431,828,1216,946,868,718
"ENSG00000004660","CAMKK1",94,118,54,120,144,73,76,78
"ENSG00000004700","RECQL",3492,5276,2484,4980,5898,4383,5084,4172
"ENSG00000004766","CCDC132",197,299,142,278,450,320,379,289
"ENSG00000004776","HSPB6",3,8,1,7,8,4,4,3
"ENSG00000004777","ARHGAP33",133,306,103,161,163,84,60,52
"ENSG00000004779","NDUFAB1",1138,1635,723,1600,1481,1117,934,939
"ENSG00000004799","PDK4",0,0,0,0,0,0,1,1
"ENSG00000004809","SLC22A16",0,0,0,0,5,0,1,0
"ENSG00000004838","ZMYND10",11,20,7,19,24,14,8,16
"ENSG00000004846","ABCB5",0,1,0,1,0,0,0,0
"ENSG00000004848","ARX",0,0,3,1,0,0,0,0
"ENSG00000004864","SLC25A13",66,41,36,62,141,63,106,79
"ENSG00000004866","ST7",247,432,161,412,427,252,213,235
"ENSG00000004897","CDC27",1521,2508,1022,2266,3251,1952,2810,2117
"ENSG00000004939","SLC4A1",0,0,1,1,0,0,0,0
"ENSG00000004948","CALCR",0,0,0,0,0,0,0,0
"ENSG00000004961","HCCS",879,1362,597,1215,1060,771,761,722
"ENSG00000004975","DVL2",414,675,382,626,1086,588,568,494
"ENSG00000005001","PRSS22",99,121,64,151,118,61,76,48
"ENSG00000005007","UPF1",2573,4196,1892,3669,4888,2904,2625,2267
"ENSG00000005020","SKAP2",119,244,89,197,354,212,236,215
"ENSG00000005022","SLC25A5",6762,10120,4460,9385,8669,5713,5149,4894
"ENSG00000005059","CCDC109B",1030,1743,678,1591,2386,1427,1516,1410
"ENSG00000005073","HOXA11",0,2,2,4,5,6,1,0
"ENSG00000005075","POLR2J",580,899,366,730,817,460,440,395
"ENSG00000005100","DHX33",368,736,303,633,913,543,615,513
"ENSG00000005102","MEOX1",6,11,2,11,37,22,15,15
"ENSG00000005108","THSD7A",0,0,0,0,0,0,0,0
"ENSG00000005156","LIG3",289,469,258,492,583,323,292,274
"ENSG00000005175","RPAP3",788,1065,559,1024,1233,935,1250,1040
"ENSG00000005187","ACSM3",142,188,91,179,139,91,79,103
"ENSG00000005189","AC004381.6",132,263,111,194,263,167,92,92
"ENSG00000005194","CIAPIN1",511,859,397,811,1045,746,615,479
"ENSG00000005238","FAM214B",288,409,222,504,759,507,531,430
"ENSG00000005243","COPZ2",14,32,14,18,31,24,22,27
"ENSG00000005249","PRKAR2B",16,21,13,36,82,45,100,79
"ENSG00000005302","MSL3",1240,1707,829,1735,2274,1612,1791,1546
"ENSG00000005339","CREBBP",1913,2392,1396,2069,4042,2503,3016,2233
"ENSG00000005379","BZRAP1",85,96,47,99,140,98,126,95
"ENSG00000005381","MPO",0,0,0,0,1,0,2,2
"ENSG00000005421","PON1",0,0,0,0,0,0,0,0
"ENSG00000005436","GCFC2",183,393,144,342,428,274,408,341
"ENSG00000005448","WDR54",1002,1728,780,1440,1349,878,518,567
"ENSG00000005469","CROT",78,100,54,123,185,112,125,112
"ENSG00000005471","ABCB4",4,9,0,3,6,2,5,1
"ENSG00000005483","KMT2E",2614,2899,1895,2934,5301,3392,3732,3383
"ENSG00000005486","RHBDD2",1265,1883,807,1575,1773,1112,939,951
"ENSG00000005513","SOX8",69,78,46,111,101,45,55,60
"ENSG00000005700","IBTK",1088,1971,724,1622,2105,1241,1852,1308
"ENSG00000005801","ZNF195",309,474,216,411,518,337,387,372
"ENSG00000005810","MYCBP2",1373,1570,990,1524,3793,2294,3806,2662
"ENSG00000005812","FBXL3",1946,2858,1377,2787,2566,1779,2487,1940
"ENSG00000005844","ITGAL",2632,4426,1914,4113,6922,3887,4133,3362
"ENSG00000005882","PDK2",333,452,213,428,714,412,337,300
"ENSG00000005884","ITGA3",511,738,423,756,2073,1220,1045,864
"ENSG00000005889","ZFX",1382,2381,961,2263,2562,1620,1800,1645
"ENSG00000005893","LAMP2",2546,4429,1813,3843,4941,3392,4284,3434
"ENSG00000005955","GGNBP2",2660,4554,2055,3641,3629,2407,2397,2168
"ENSG00000005961","ITGA2B",10,21,7,22,19,13,5,9
"ENSG00000005981","ASB4",4,1,0,0,3,3,2,2
"ENSG00000006007","GDE1",2422,3437,1597,3601,3457,2003,2530,2112
"ENSG00000006015","C19orf60",121,200,99,178,235,153,85,87
"ENSG00000006016","CRLF1",2,2,3,3,3,1,0,0
"ENSG00000006025","OSBPL7",25,27,27,32,73,65,34,31
"ENSG00000006042","TMEM98",4,6,4,6,3,7,2,3
"ENSG00000006047","YBX2",32,53,31,53,55,39,39,30
"ENSG00000006059","KRT33A",0,0,0,0,0,0,0,0
"ENSG00000006071","ABCC8",0,0,0,0,0,0,0,0
"ENSG00000006074","CCL18",1,2,0,1,2,3,6,5
"ENSG00000006075","CCL3",728,795,463,954,941,778,1003,859
"ENSG00000006114","SYNRG",1659,2718,1188,2553,4067,2661,2930,2434
"ENSG00000006116","CACNG3",0,0,0,2,0,0,0,0
"ENSG00000006118","TMEM132A",277,346,174,349,744,487,397,337
"ENSG00000006125","AP2B1",3099,5416,2446,5065,8668,5370,5348,4601
"ENSG00000006128","TAC1",10,2,0,3,16,12,19,16
"ENSG00000006194","ZNF263",673,972,448,993,905,602,626,555
"ENSG00000006210","CX3CL1",0,1,0,2,4,3,0,1
"ENSG00000006282","SPATA20",408,621,294,578,818,518,403,336
"ENSG00000006283","CACNA1G",13,18,4,8,11,6,9,3
"ENSG00000006327","TNFRSF12A",272,343,170,325,332,162,189,178
"ENSG00000006377","DLX6",0,0,0,0,0,0,0,0
"ENSG00000006432","MAP3K9",358,546,215,510,790,403,420,401
"ENSG00000006451","RALA",2462,4119,1654,3462,3138,2123,2563,2044
"ENSG00000006453","BAIAP2L1",157,249,122,201,197,120,95,103
"ENSG00000006459","KDM7A",3053,5693,2042,4915,7167,3588,5139,4105
"ENSG00000006468","ETV1",1,0,1,0,0,0,1,0
"ENSG00000006530","AGK",490,615,372,672,942,628,595,495
"ENSG00000006534","ALDH3B1",0,2,1,0,1,0,0,0
"ENSG00000006555","TTC22",529,728,435,792,1064,776,549,552
"ENSG00000006576","PHTF2",1367,2112,984,2095,2298,1549,2425,1882
"ENSG00000006606","CCL26",2,5,1,11,4,4,11,8
"ENSG00000006607","FARP2",702,1162,460,1054,2019,1313,1143,1115
"ENSG00000006611","USH1C",0,0,0,0,0,0,0,0
"ENSG00000006625","GGCT",616,1097,400,878,949,686,648,582
"ENSG00000006634","DBF4",1250,2109,796,1594,1387,912,1301,1077
"ENSG00000006638","TBXA2R",8,10,9,13,25,23,13,11
"ENSG00000006652","IFRD1",1251,1808,817,1692,1136,721,987,802
"ENSG00000006659","LGALS14",4,1,2,10,9,3,1,1
"ENSG00000006695","COX10",627,795,384,910,870,580,576,506
"ENSG00000006704","GTF2IRD1",292,444,197,393,524,366,378,325
"ENSG00000006712","PAF1",1530,2152,1157,2127,2114,1604,1440,1194
"ENSG00000006715","VPS41",345,585,288,533,1232,850,986,707
"ENSG00000006740","ARHGAP44",2,3,3,5,13,8,3,0
"ENSG00000006744","ELAC2",1218,1767,890,1882,2314,1512,1343,1331
"ENSG00000006747","SCIN",4,2,3,5,3,1,5,5
"ENSG00000006756","ARSD",30,49,37,63,147,130,83,95
"ENSG00000006757","PNPLA4",133,193,104,171,209,155,115,114
"ENSG00000006788","MYH13",0,3,0,0,0,0,0,0
"ENSG00000006831","ADIPOR2",1621,2689,1181,2642,3614,2210,2354,2013
"ENSG00000006837","CDKL3",1,29,7,14,20,14,13,8
"ENSG00000007001","UPP2",0,1,0,1,0,1,0,2
"ENSG00000007038","PRSS21",92,131,63,147,149,123,89,78
"ENSG00000007047","MARK4",885,1322,590,1206,1783,1167,1084,821
"ENSG00000007062","PROM1",19,15,4,23,46,32,33,17
"ENSG00000007080","CCDC124",685,973,457,830,976,661,505,466
"ENSG00000007129","CEACAM21",135,195,85,181,292,196,196,173
"ENSG00000007168","PAFAH1B1",2611,3864,1838,3965,4937,3288,3506,3000
"ENSG00000007171","NOS2",4,0,0,0,3,1,2,1
"ENSG00000007174","DNAH9",0,0,0,0,0,0,0,0
"ENSG00000007202","KIAA0100",3625,5311,2532,5805,8552,4731,5225,4260
"ENSG00000007216","SLC13A2",0,0,0,0,0,0,0,0
"ENSG00000007237","GAS7",25,22,5,40,31,16,24,14
"ENSG00000007255","TRAPPC6A",212,350,155,238,403,239,166,199
"ENSG00000007264","MATK",97,136,51,130,169,89,85,98
"ENSG00000007306","CEACAM7",0,0,0,0,0,0,0,0
"ENSG00000007312","CD79B",764,1028,530,1049,884,594,508,522
"ENSG00000007314","SCN4A",1,8,1,4,5,7,1,0
"ENSG00000007341","ST7L",61,124,39,103,101,103,97,108
"ENSG00000007350","TKTL1",85,122,63,120,90,40,57,58
"ENSG00000007372","PAX6",13,29,7,15,5,8,10,10
"ENSG00000007376","RPUSD1",130,199,94,187,300,200,196,162
"ENSG00000007384","RHBDF1",13,5,6,4,19,30,29,21
"ENSG00000007392","LUC7L",105,144,61,162,163,109,130,131
"ENSG00000007402","CACNA2D2",95,122,73,145,276,180,172,138
"ENSG00000007516","BAIAP3",8,20,7,10,34,23,6,13
"ENSG00000007520","TSR3",386,657,286,627,755,493,336,342
"ENSG00000007541","PIGQ",88,102,61,151,274,186,157,148
"ENSG00000007545","CRAMP1L",272,363,163,347,541,354,315,271
"ENSG00000007866","TEAD3",132,170,78,188,245,159,169,137
"ENSG00000007908","SELE",0,0,0,0,0,0,0,0
"ENSG00000007923","DNAJC11",191,232,163,298,655,385,383,337
"ENSG00000007933","FMO3",0,0,0,0,0,0,0,0
"ENSG00000007944","MYLIP",251,371,136,412,302,162,223,187
"ENSG00000007952","NOX1",0,0,0,0,0,0,0,0
"ENSG00000007968","E2F2",229,297,146,376,727,377,338,333
"ENSG00000008018","PSMB1",4013,5915,2763,5135,5133,3727,2810,3122
"ENSG00000008056","SYN1",329,563,267,512,962,664,460,425
"ENSG00000008083","JARID2",1076,1482,786,1414,2513,1601,1818,1603
"ENSG00000008086","CDKL5",32,45,24,46,88,38,53,41
"ENSG00000008118","CAMK1G",5,12,6,8,11,8,7,1
"ENSG00000008128","CDK11A",121,158,80,134,177,112,103,101
"ENSG00000008130","NADK",272,377,177,383,615,390,394,356
"ENSG00000008196","TFAP2B",0,0,0,0,0,0,0,0
"ENSG00000008197","TFAP2D",0,0,0,0,0,0,0,0
"ENSG00000008226","DLEC1",7,15,8,19,20,27,11,17
"ENSG00000008256","CYTH3",115,195,67,215,235,117,151,122
"ENSG00000008277","ADAM22",26,32,23,39,89,36,69,56
"ENSG00000008282","SYPL1",1102,1726,721,1449,1719,1245,1517,1190
"ENSG00000008283","CYB561",90,127,79,111,251,178,186,143
"ENSG00000008294","SPAG9",2610,3439,1742,3200,4454,2937,3934,3080
"ENSG00000008300","CELSR3",188,290,124,260,452,220,190,202
"ENSG00000008311","AASS",52,77,47,107,186,118,144,110
"ENSG00000008323","PLEKHG6",0,0,0,2,3,3,1,3
"ENSG00000008324","SS18L2",695,1155,452,930,931,598,714,779
"ENSG00000008382","MPND",121,198,71,182,260,180,147,133
"ENSG00000008394","MGST1",62,91,49,94,150,124,108,101
"ENSG00000008405","CRY1",1349,1956,941,1968,1854,1330,1520,1192
"ENSG00000008438","PGLYRP1",0,0,0,0,0,0,0,0
"ENSG00000008441","NFIX",27,25,15,21,37,14,17,16
"ENSG00000008513","ST3GAL1",3150,4589,2217,4790,7559,4680,5023,4235
"ENSG00000008516","MMP25",91,166,93,150,192,176,87,91
"ENSG00000008517","IL32",6151,8647,4379,8086,9596,6299,5090,5119
"ENSG00000008710","PKD1",294,418,233,321,669,486,388,321
"ENSG00000008735","MAPK8IP2",1,0,1,10,7,3,6,1
"ENSG00000008838","MED24",614,878,439,890,1491,1034,819,719
"ENSG00000008853","RHOBTB2",60,95,30,90,168,121,118,84
"ENSG00000008869","HEATR5B",557,824,326,778,1084,580,725,553
"ENSG00000008952","SEC62",3680,4999,2485,4565,4634,3289,4118,3562
"ENSG00000008988","RPS20",31368,55052,20304,44264,29478,18521,15979,16601
"ENSG00000009307","CSDE1",21545,37869,15306,32201,29521,19660,19305,17561
"ENSG00000009335","UBE3C",1842,3131,1235,3234,4391,2568,2874,2412
"ENSG00000009413","REV3L",558,518,411,539,1407,935,1791,1242
"ENSG00000009694","TENM1",8,6,5,16,51,23,44,32
"ENSG00000009709","PAX7",0,0,0,0,1,0,0,0
"ENSG00000009724","MASP2",0,0,0,0,0,0,0,0
"ENSG00000009765","IYD",1,0,0,1,0,1,0,0
"ENSG00000009780","FAM76A",204,337,146,338,406,253,224,276
"ENSG00000009790","TRAF3IP3",525,729,433,800,1117,765,791,639
"ENSG00000009830","POMT2",137,228,92,187,237,161,135,114
"ENSG00000009844","VTA1",791,1323,604,1254,1265,835,1002,819
"ENSG00000009950","MLXIPL",1,0,2,1,1,2,1,2
"ENSG00000009954","BAZ1B",2118,2341,1746,2444,4594,3347,3248,2841
"ENSG00000010017","RANBP9",2842,4628,2033,4449,4700,3115,3965,3056
"ENSG00000010030","ETV7",27,45,21,25,75,24,37,40
"ENSG00000010072","SPRTN",253,312,164,314,384,289,250,254
"ENSG00000010165","METTL13",2908,4464,2137,4353,4409,2936,2333,2120
"ENSG00000010219","DYRK4",273,484,171,386,329,212,183,177
"ENSG00000010244","ZNF207",3546,5585,2371,4934,5959,4022,4248,3635
"ENSG00000010256","UQCRC1",3479,5118,2573,4899,4912,3405,2398,2333
"ENSG00000010270","STARD3NL",765,1183,517,1101,1270,829,826,782
"ENSG00000010278","CD9",1739,2304,1168,2382,1653,1100,1195,1045
"ENSG00000010282","HHATL",2,1,0,0,0,0,0,0
"ENSG00000010292","NCAPD2",6155,11818,4778,9959,12020,6996,5823,5281
"ENSG00000010295","IFFO1",133,199,80,164,246,211,158,137
"ENSG00000010310","GIPR",25,40,14,36,48,31,44,24
"ENSG00000010318","PHF7",77,161,66,139,142,118,104,65
"ENSG00000010319","SEMA3G",1,3,0,4,7,1,3,6
"ENSG00000010322","NISCH",404,724,295,644,1005,621,564,511
"ENSG00000010327","STAB1",0,0,1,0,0,0,0,3
"ENSG00000010361","FUZ",107,142,73,135,195,129,112,108
"ENSG00000010379","SLC6A13",3,7,2,17,14,5,28,6
"ENSG00000010404","IDS",3016,5583,2131,5283,7311,4399,5652,4275
"ENSG00000010438","PRSS3",1,2,1,5,0,0,2,0
"ENSG00000010539","ZNF200",331,528,236,499,752,511,531,444
"ENSG00000010610","CD4",6663,10586,5245,10140,16306,11497,8619,8029
"ENSG00000010626","LRRC23",80,185,76,146,129,77,66,73
"ENSG00000010671","BTK",1,3,0,6,8,1,2,3
"ENSG00000010704","HFE",9,17,6,16,45,38,27,36
"ENSG00000010803","SCMH1",217,423,175,417,590,356,312,328
"ENSG00000010810","FYN",4280,5772,2802,5985,6415,4270,4753,4036
"ENSG00000010818","HIVEP2",1688,1962,1141,2095,3959,2330,3004,2339
"ENSG00000010932","FMO1",0,0,0,0,0,0,0,0
"ENSG00000011007","TCEB3",1387,1880,951,1931,2311,1416,1637,1286
"ENSG00000011009","LYPLA2",855,1072,548,1149,1478,1097,990,793
"ENSG00000011021","CLCN6",198,323,125,279,550,334,338,297
"ENSG00000011028","MRC2",1294,2171,1005,1983,4670,3142,2392,2122
"ENSG00000011052","NME2",0,0,0,0,0,0,0,0
"ENSG00000011083","SLC6A7",0,0,1,1,0,2,2,2
"ENSG00000011105","TSPAN9",72,68,40,77,97,83,71,60
"ENSG00000011114","BTBD7",419,753,282,643,948,469,668,527
"ENSG00000011132","APBA3",260,335,196,332,439,277,248,259
"ENSG00000011143","MKS1",70,125,56,133,201,82,72,74
"ENSG00000011198","ABHD5",1240,1624,795,1859,1612,1225,1442,1265
"ENSG00000011201","KAL1",0,0,1,2,0,0,0,0
"ENSG00000011243","AKAP8L",1289,1998,996,1844,1924,1387,1198,1016
"ENSG00000011258","MBTD1",131,182,67,161,363,207,360,239
"ENSG00000011260","UTP18",2593,3471,1828,3355,3336,2459,2843,2580
"ENSG00000011275","RNF216",850,1158,543,1206,1581,1024,945,853
"ENSG00000011295","TTC19",498,674,297,714,1012,662,701,693
"ENSG00000011304","PTBP1",4002,5916,2914,5557,6826,4655,4273,3418
"ENSG00000011332","DPF1",16,25,17,12,43,35,21,26
"ENSG00000011347","SYT7",0,4,2,0,0,0,0,0
"ENSG00000011376","LARS2",281,455,251,442,719,442,371,327
"ENSG00000011405","PIK3C2A",442,722,320,615,1277,760,1152,921
"ENSG00000011422","PLAUR",980,1397,701,1508,2931,1867,1580,1354
"ENSG00000011426","ANLN",1176,1993,956,1931,3183,2278,2059,1576
"ENSG00000011451","WIZ",160,215,116,207,482,345,312,281
"ENSG00000011454","RABGAP1",781,1100,558,1193,1969,1258,1499,1241
"ENSG00000011465","DCN",0,0,0,0,0,0,0,0
"ENSG00000011478","QPCTL",177,214,114,203,266,171,152,169
"ENSG00000011485","PPP5C",703,960,453,1062,1373,904,735,699
"ENSG00000011523","CEP68",351,691,286,539,1174,829,1198,847
"ENSG00000011566","MAP4K3",186,302,133,308,410,210,348,244
"ENSG00000011590","ZBTB32",675,872,469,997,1327,808,790,764
"ENSG00000011600","TYROBP",0,0,0,0,1,0,0,0
"ENSG00000011638","TMEM159",682,929,424,968,834,585,493,437
"ENSG00000011677","GABRA3",0,0,0,0,0,0,0,0
"ENSG00000012048","BRCA1",200,301,175,225,635,555,418,390
"ENSG00000012061","ERCC1",740,1119,572,963,1352,909,698,824
"ENSG00000012124","CD22",143,226,136,167,630,449,241,241
"ENSG00000012174","MBTPS2",55,122,43,97,144,79,111,75
"ENSG00000012211","PRICKLE3",386,704,287,617,759,516,395,351
"ENSG00000012223","LTF",7,11,1,6,10,5,2,2
"ENSG00000012232","EXTL3",1813,2878,1173,3077,3026,1748,2014,1509
"ENSG00000012504","NR1H4",2,1,1,1,3,0,0,0
"ENSG00000012660","ELOVL5",3507,6353,2527,5242,6730,4492,5110,4432
"ENSG00000012779","ALOX5",12,32,11,29,23,9,8,12
"ENSG00000012817","KDM5D",0,0,0,0,0,0,0,0
"ENSG00000012822","CALCOCO1",488,684,357,636,978,686,638,499
"ENSG00000012963","UBR7",1316,2049,988,2127,2529,1735,1540,1411
"ENSG00000012983","MAP4K5",365,551,223,524,765,510,788,548
"ENSG00000013016","EHD3",28,33,9,22,160,80,73,56
"ENSG00000013275","PSMC4",2339,3447,1724,3531,3519,2541,2396,2069
"ENSG00000013288","MAN2B2",349,443,260,399,1229,816,777,582
"ENSG00000013293","SLC7A14",0,1,0,0,0,1,0,0
"ENSG00000013297","CLDN11",2,4,3,1,1,3,6,0
"ENSG00000013306","SLC25A39",1136,1878,776,1749,2034,1195,977,884
"ENSG00000013364","MVP",3842,6892,3112,6463,9721,6087,5087,4215
"ENSG00000013374","NUB1",1894,2994,1428,2730,4165,2837,3065,2819
"ENSG00000013375","PGM3",595,972,439,1017,902,616,608,553
"ENSG00000013392","RWDD2A",103,160,64,114,182,119,146,117
"ENSG00000013441","CLK1",5074,8309,3384,6549,3970,2484,3295,3026
"ENSG00000013503","POLR3B",87,125,58,117,135,102,88,107
"ENSG00000013523","ANGEL1",504,811,380,722,974,463,480,425
"ENSG00000013561","RNF14",547,953,393,798,815,561,657,551
"ENSG00000013563","DNASE1L1",235,336,142,254,368,250,205,228
"ENSG00000013573","DDX11",181,317,159,312,460,302,249,189
"ENSG00000013583","HEBP1",567,1010,449,850,634,411,287,281
"ENSG00000013588","GPRC5A",952,1145,596,1314,842,544,437,489
"ENSG00000013619","MAMLD1",76,136,63,140,233,153,138,139
"ENSG00000013725","CD6",11630,15979,8199,16354,23977,16591,14650,12539
"ENSG00000013810","TACC3",2708,4605,2161,4074,4320,2925,2007,1998
"ENSG00000014123","UFL1",1086,1891,802,1567,1849,1373,1296,1100
"ENSG00000014138","POLA2",312,531,267,555,921,659,451,431
"ENSG00000014164","ZC3H3",1085,1798,849,1590,1854,1167,887,820
"ENSG00000014216","CAPN1",2584,3922,1880,4146,6419,4099,3548,2914
"ENSG00000014257","ACPP",2,0,0,3,4,0,3,0
"ENSG00000014641","MDH1",3578,5985,2629,5161,5521,3996,3459,3341
"ENSG00000014824","SLC30A9",422,631,275,660,1138,782,882,790
"ENSG00000014914","MTMR11",195,411,147,267,304,221,182,178
"ENSG00000014919","COX15",432,785,348,662,978,529,483,386
"ENSG00000015133","CCDC88C",853,1014,646,957,1177,991,871,773
"ENSG00000015153","YAF2",446,767,319,620,548,346,465,412
"ENSG00000015171","ZMYND11",760,975,594,1236,1893,1323,1874,1376
"ENSG00000015285","WAS",1875,2996,1477,2831,3404,2089,1746,1652
"ENSG00000015413","DPEP1",0,0,0,0,0,0,0,0
"ENSG00000015475","BID",321,436,222,441,483,281,311,283
"ENSG00000015479","MATR3",4494,6786,3163,6470,7716,5168,6162,5086
"ENSG00000015520","NPC1L1",2,12,5,20,3,8,3,7
"ENSG00000015532","XYLT2",704,1018,595,990,1903,1229,951,885
"ENSG00000015568","RGPD5",4,7,4,11,8,1,7,2
"ENSG00000015592","STMN4",202,320,137,236,98,56,47,43
"ENSG00000015676","NUDCD3",1242,2092,975,1953,2677,1746,1307,1287
"ENSG00000016082","ISL1",0,0,0,0,4,1,0,0
"ENSG00000016391","CHDH",3,6,1,3,11,5,5,4
"ENSG00000016402","IL20RA",0,1,0,2,5,3,7,1
"ENSG00000016490","CLCA1",0,0,0,0,0,0,0,0
"ENSG00000016602","CLCA4",0,0,0,0,0,0,0,0
"ENSG00000016864","GLT8D1",479,800,374,694,932,705,570,585
"ENSG00000017260","ATP2C1",2388,4067,1665,3565,4383,3036,3309,2712
"ENSG00000017373","SRCIN1",6,34,10,16,21,21,13,16
"ENSG00000017427","IGF1",12,27,14,26,16,14,11,9
"ENSG00000017483","SLC38A5",1315,2072,944,2035,2164,1432,996,991
"ENSG00000017621","MAGIX",12,16,4,14,16,12,13,10
"ENSG00000017797","RALBP1",3180,4470,2109,4424,4731,3111,3031,2693
"ENSG00000018189","RUFY3",109,151,50,140,174,118,111,114
"ENSG00000018236","CNTN1",0,0,0,0,0,0,0,0
"ENSG00000018280","SLC11A1",3,2,2,3,2,1,2,0
"ENSG00000018408","WWTR1",32,29,15,31,86,55,54,57
"ENSG00000018510","AGPS",750,1285,526,1126,1488,904,1086,970
"ENSG00000018610","CXorf56",229,350,206,302,501,331,320,274
"ENSG00000018625","ATP1A2",0,1,1,1,0,0,0,2
"ENSG00000018699","TTC27",185,342,166,306,394,214,184,161
"ENSG00000018869","ZNF582",9,20,21,29,41,15,35,19
"ENSG00000019102","VSIG2",0,1,1,3,1,0,1,2
"ENSG00000019144","PHLDB1",168,222,129,239,369,252,221,172
"ENSG00000019169","MARCO",1,0,1,4,1,1,0,0
"ENSG00000019186","CYP24A1",7,8,4,30,32,31,22,26
"ENSG00000019485","PRDM11",27,41,19,32,40,15,35,23
"ENSG00000019505","SYT13",1,3,7,8,3,1,1,1
"ENSG00000019549","SNAI2",0,0,0,0,1,0,0,5
"ENSG00000019582","CD74",7315,10589,5598,9839,14472,10372,7486,6867
"ENSG00000019991","HGF",0,0,0,0,3,0,1,0
"ENSG00000019995","ZRANB1",1006,1619,690,1722,1705,1069,1378,1124
"ENSG00000020129","NCDN",174,229,128,227,502,363,281,250
"ENSG00000020181","GPR124",4,21,7,4,32,16,3,2
"ENSG00000020256","ZFP64",394,545,249,578,552,321,286,237
"ENSG00000020426","MNAT1",286,484,223,417,450,346,328,326
"ENSG00000020577","SAMD4A",202,326,160,293,408,253,302,205
"ENSG00000020633","RUNX3",4377,6944,3220,6749,10874,6566,6375,5533
"ENSG00000020922","MRE11A",427,615,309,650,801,500,550,431
"ENSG00000021300","PLEKHB1",184,252,133,273,433,277,227,260
"ENSG00000021355","SERPINB1",3227,5368,2415,4334,6532,4195,3939,3763
"ENSG00000021461","CYP3A43",0,0,0,0,0,3,0,0
"ENSG00000021488","SLC7A9",2,2,0,0,1,0,0,0
"ENSG00000021574","SPAST",624,969,485,858,1127,765,968,771
"ENSG00000021645","NRXN3",0,0,0,1,0,1,0,3
"ENSG00000021762","OSBPL5",6,16,6,12,29,28,15,19
